"Code","Name"
"9204658","Abies [spp]"
"9204658","Abies [spp] (c)"
"9204658","Abies [spp] (g)"
"9202395","Abies alba"
"9202397","Abies procera"
"9202528","Acaena anserinifolia"
"9202527","Acaena novae-zelandiae"
"200001601","Acer [spp]"
"9203","Acer campestre"
"9203","Acer campestre (c)"
"9203","Acer campestre (g)"
"9204","Acer platanoides"
"9204","Acer platanoides (c)"
"9205","Acer pseudoplatanus"
"9205","Acer pseudoplatanus (c)"
"9205","Acer pseudoplatanus (g)"
"9204661","Acer seedling/sp"
"9206","Aceras anthropophorum"
"9207","Achillea millefolium"
"9209","Achillea ptarmica"
"92014","Aconitum napellus"
"92015","Acorus calamus"
"92016","Actaea spicata"
"810681","Adelanthus decipiens"
"91017","Adiantum capillus-veneris"
"92018","Adonis annua"
"92019","Adoxa moschatellina"
"92020","Aegopodium podagraria"
"9202241","Aesculus hippocastanum"
"9202241","Aesculus hippocastanum (g)"
"9202241","Aesculus hippocastanum (s)"
"92021","Aethusa cynapium"
"92022","Agrimonia eupatoria"
"92023","Agrimonia procera"
"92034","Agrostemma githago"
"9204579","Agrostis [spp]"
"92035","Agrostis canina sens.lat."
"92040","Agrostis capillaris"
"92038","Agrostis curtisii"
"92036","Agrostis gigantea"
"92039","Agrostis stolonifera"
"92035.100000000006","Agrostis vinealis"
"9204411","Ailanthus altissima"
"92041","Aira caryophyllea"
"92042","Aira praecox"
"92043","Ajuga chamaepitys"
"92045","Ajuga pyramidalis"
"92046","Ajuga reptans"
"9204679","Alchemilla [spp]"
"92047","Alchemilla acutiloba"
"92048","Alchemilla alpina"
"9204480","Alchemilla filicaulis"
"92050","Alchemilla filicaulis subsp.filicaulis"
"92051","Alchemilla glabra"
"92054","Alchemilla glaucescens"
"92052","Alchemilla glomerulans"
"9202552","Alchemilla gracilis"
"92053","Alchemilla minima"
"92055","Alchemilla monticola"
"92056","Alchemilla subcrenata"
"92058","Alchemilla vulgaris agg."
"92059","Alchemilla wichurae"
"92060","Alchemilla xanthochlora"
"5502681","Alectoria nigricans"
"5502682","Alectoria ochroleuca"
"5502683","Alectoria sarmentosa"
"200001623","Algae"
"22","Algal mat"
"92061","Alisma gramineum"
"92062","Alisma lanceolatum"
"92063","Alisma plantago-aquatica"
"92064","Alliaria petiolata"
"200001675","Allium [spp]"
"9208283","Allium ampeloprasum"
"92066","Allium ampeloprasum babingtonii"
"92065","Allium ampeloprasum ssp ampeloprasum"
"92067","Allium carinatum"
"9209184","Allium cepa"
"92068","Allium oleraceum"
"92069","Allium paradoxum"
"92070","Allium roseum"
"92072","Allium schoenoprasum"
"92071","Allium scorodoprasum"
"92073","Allium sphaerocephalon"
"92074","Allium triquetrum"
"92075","Allium ursinum"
"92076","Allium vineale"
"200001602","Alnus [spp]"
"92077","Alnus glutinosa"
"92077","Alnus glutinosa (c)"
"92077","Alnus glutinosa (g)"
"92078","Alnus incana"
"9204682","Alopecurus [spp]"
"92079","Alopecurus aequalis"
"92080","Alopecurus borealis"
"92081","Alopecurus bulbosus"
"92082","Alopecurus geniculatus"
"92084","Alopecurus myosuroides"
"92085","Alopecurus pratensis"
"92087","Althaea officinalis"
"200001604","Amaranthus [spp]"
"92090","Amaranthus albus"
"92092","Amaranthus retroflexus"
"820366","Amblystegium riparium"
"82019","Amblystegium serpens"
"92097","Ammophila arenaria"
"200001605","Amsinckia [spp]"
"92098","Anacamptis pyramidalis"
"200001580","Anagallis [spp]"
"92099","Anagallis arvensis"
"92099.199999999997","Anagallis arvensis subsp.caerulea"
"920456","Anagallis minima"
"920100","Anagallis tenella"
"920101","Anaphalis margaritacea"
"810683","Anastrepta orcadensis"
"810684","Anastrophyllum donnianum"
"810952","Anastrophyllum minutum"
"9201218","Anchusa arvensis"
"200001442","Andraea [spp]"
"82023","Andreaea alpina"
"8201067","Andreaea rothii"
"8201068","Andreaea rupestris"
"920103","Andromeda polifolia"
"920105","Anemone nemorosa"
"810901","Aneura pinguis"
"920108","Angelica archangelica"
"920109","Angelica sylvestris"
"920110","Anisantha diandra"
"920112","Anisantha rigida"
"920113","Anisantha sterilis"
"82027","Anoectangium aestivum"
"910115","Anogramma leptophylla"
"920116","Antennaria dioica"
"810686","Anthelia julacea"
"810687","Anthelia juratzkana"
"9204698","Anthemis [spp]"
"920117","Anthemis arvensis"
"920118","Anthemis cotula"
"920122","Anthoxanthum aristatum"
"920121","Anthoxanthum odoratum"
"920123","Anthriscus caucalis"
"920125","Anthriscus sylvestris"
"920126","Anthyllis vulneraria"
"920127","Antirrhinum majus"
"9204703","Apera [spp]"
"920129","Apera interrupta"
"920130","Apera spica-venti"
"9204704","Aphanes [spp]"
"920131","Aphanes arvensis agg."
"920132","Aphanes arvensis sens.str."
"920133","Aphanes inexspectata"
"920134","Apium graveolens"
"920135","Apium inundatum"
"920137","Apium nodiflorum"
"920138","Apium repens"
"920141","Aquilegia vulgaris"
"920142","Arabidopsis thaliana"
"920143","Arabis alpina"
