wrong_name,right_name
A. x salignus Willd,Aster lanceolatus x novi-belgii (A. x salignus)
Acer seedling,Acer seedling/sp
Agrimonia,
Agrimonia sp,
Agrimony,Agrimonia eupatoria
Agrostis,Agrostis [spp]
Agrostis canina,Agrostis canina sens.lat.
Agrostis canina/stolonifera,Agrostis [spp]
Agrostis sp.,Agrostis [spp]
agrostis stolonifera,Agrostis stolonifera
Alchemilla,Alchemilla [spp]
Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis
Alchemilla millefolium,Alchemilla [spp]
Alnus glutinosa (seedling),Alnus glutinosa (g)
Alopecurus sp.,Alopecurus [spp]
Amblystegium sp.,
Amblystegium varium,
Anagallis palustris,Anagallis [spp]
Aphanes arvensis,Aphanes arvensis agg.
Aphanes australis,Aphanes [spp]
Arctium minus agg.,Arctium minus
Arrhenatherum pratense,
Asplenium ruta-murania,Asplenium ruta-muraria
Asplenium ruta-muriana,Asplenium ruta-muraria
Asplenium scolopendrium,Asplenium [spp]
Asplenium trichomanes ssp.Quad,Asplenium trichomanes
Asplenium viride,Asplenium [spp]
Aster,
Aster x salignus,Aster lanceolatus x novi-belgii (A. x salignus)
Atriplex prostrata,Atriplex prostrata agg.
Aulacomium androgynum,Aulacomnium androgynum
Aulacommium palustre,Aulacomnium palustre
Aulacomnium paslustre,Aulacomnium palustre
Aulacomniun palustre,Aulacomnium palustre
Avenula pratensis,Helictotrichon pratense
Avenula pubescens,Avenula [spp]
Barbilophozia,Barbilophozia [spp]
Barbilophozia sp,Barbilophozia [spp]
Barbilophozia sp.,Barbilophozia [spp]
Bellis Perennis,Bellis perennis
Betula,Betula seedling/sp
Betula seedling,Betula seedling/sp
Betula sp.,Betula seedling/sp
Brachypodium pinnatum s.l.,Brachypodium pinnatum
Brachypodium sp.,Brachypodium [spp]
Brachythecium,Brachythecium [spp]
Brachythecium cf. mildeanum,Brachythecium mildeanum
Brachythecium sp.,Brachythecium [spp]
Bromus,Bromus [spp]
Bromus ferronii,Bromus hordeaceus subsp.ferronii
Bromus hordaceus,Bromus hordeaceus
Bromus hordeaceus subsp hordeaceus,Bromus hordeaceus
Bromus hordeaceus subsp. ferronnii,Bromus hordeaceus subsp.ferronii
Bromus hordeaceus subsp. hordeaceus,Bromus hordeaceus
Bromus hordeaceus subsp. Hordeaceus,Bromus hordeaceus
Bromus ramosus,Bromus racemosus
Bromus sp.,Bromus [spp]
Bryophytes,
Bryum,Bryum [spp]
Bryum sp.,Bryum [spp]
Calamagrostis,Calamagrostis [spp]
Calliergon,Calliergon [spp]
Calliergon giganticum,Calliergon giganteum
Calliergon sp.,Calliergon [spp]
Calliergonella cuspidata,Calliergon cuspidatum
Calluna vulgaris (dead),Calluna vulgaris
Calypogeia,Calypogeia [spp]
Calypogeia arguta,Calypogeia [spp]
Calypogeia muellerana,Calypogeia muelleriana
Calypogeia muelleriana (A),Calypogeia muelleriana
Calystegia sepium subsp. sepium,Calystegia sepium
Campanula sp,Campanula [spp]
Campylium stellatum s.l.,Campylium stellatum
Campylopus,Campylopus [spp]
Campylopus flexuosus,Campylopus [spp]
campylopus introflexus,Campylopus introflexus
Campylopus sp.,Campylopus [spp]
Cardamine,Cardamine [spp]
Cardamine sp,Cardamine [spp]
Cardamine sp.,Cardamine [spp]
Carex,Carex seedling/sp
Carex canescens,Carex curta
Carex cf disticha,Carex disticha
Carex cf lepidocarpa,Carex seedling/sp
Carex demissa,Carex seedling/sp
Carex lepidocarpa,Carex seedling/sp
Carex lepidocarpa / viridula agg.,Carex seedling/sp
Carex leporina,Carex seedling/sp
Carex Nigra,Carex nigra
Carex seedling,Carex seedling/sp
Carex sp,Carex seedling/sp
Carex sp.,Carex seedling/sp
Carex vescaria,Carex vesicaria
Carex viridula ssp. Oedocarpa,Carex viridula subsp.oedocarpa
Carex viridula subsp. brachyrrhyncha,Carex viridula subsp.brachyrrhyncha
Carex viridula subsp. oedocarpa,Carex viridula subsp.oedocarpa
Carex viridula subsp. viridula,Carex viridula subsp.viridula
Carex x fulva,Carex seedling/sp
Carpinus betulus (c),Carpinus betulus (g)
Centaurea,Centaurea [spp]
Cephalozia,Cephalozia [spp]
