B36,B12,B14,B15,B25,B26
Oenanthe silaifolia,Galium sterneri,Asperula cynanchica,Anthyllis vulneraria,Calluna vulgaris,Calluna vulgaris
Sanguisorba officinalis,Helianthemum nummularium,Hippocrepis comosa,Hippocrepis comosa,Erica spp,E. tetralix
Silaum silaus,Thymus polytrichus,Pilosella officinarum,Pilosella officinarum,Empetrum nigrum,Ulex minor
Lotus corniculatus,Euphrasia spp,Sanguisorba minor,Sanguisorba minor,Vaccinium spp,Carex pilulifera
Primula veris,Polygala vulgaris,Succisa pratensis,Succisa pratensis,Ulex gallii,Galium saxatile
Caltha palustris,Sanguisorba minor,Thymus spp,Thymus spp,Carex nigra,Potentilla erecta
Cardamine pratensis,Sphagnum papillosum,Calluna vulgaris,,Sphagnum denticulatum,Rumex acetosella
Filipendula ulmaria,Sphagnum fallax,Erica cinerea,,Sphagnum fallax,Erica tetralix
Ranunculus flammula,Eriophorum angustifolium,Potentilla erecta,,Eriophorum angustifolium,Vaccinium myrtillus
C.panicea,Eriophorum vaginatum,Thymus praecox,,Potentilla erecta,Sphagnum papillosum
Thalictrum flavum,Narthecium ossifragum,Galium verum,,,Sphagnum palustre
,,Sanguisorba minor,,,Eriophorum angustifolium
