"Plot_ID","Species_richness","Species_diversity","Sitecode","Year","Eastings","Northings","BAP_broad","BAP_priority","NVC_FIRST","Light","Wetness","pH","Fertility","Competition","Stress","Ruderals","NVC_subgroup","NVC_group","NVC_habitat","Vegetation_height","STD_HEIGHT","Litter","Bare_ground","NA","NA","NA","NA","NA","NA","NA"
"1",30,0.95905117478596,"B01",2012,330116.423537,411577.005176,"Supralittoral Sediment","Coastal Sand Dunes","SD15b:52.26",7.4,5.7,6.1,4.3,2.74,3.04,2.31,"SD15b","SD15","SD",8.12,5.61114961482939,25,4,NA,NA,NA,NA,NA,NA,NA
"2",11,0.882752491588904,"B01",2012,329459.448436999,411732.400338999,"Neutral Grassland","Coastal Sand Dunes","SD15a:50.63",8,8.8,6,3.5,3.01,2.96,1.87,"SD15a","SD15","SD",13.38,5.11183267853451,25,0,NA,NA,NA,NA,NA,NA,NA
"3",18,0.94141089180651,"B01",2012,329765.652790999,411581.303481,"Supralittoral Sediment","Coastal Sand Dunes","SD15b:39.86",7.2,6.3,6.2,4.8,3.06,2.66,2.21,"SD15b","SD15","SD",32.96,14.3002913723229,0,0,NA,NA,NA,NA,NA,NA,NA
"4",31,0.942345533254624,"B01",2012,329860.475268999,411429.480128999,"Supralittoral Sediment","Coastal Sand Dunes","SD16a:43.97",7.5,5.6,6.2,4.2,2.91,2.98,1.78,"SD16a","SD16","SD",17.56,6.53407733858933,0,1,NA,NA,NA,NA,NA,NA,NA
"5",29,0.94779631383405,"B01",2012,329366.253708,411513.842953999,"Calcareous Grassland","Coastal Sand Dunes","SD16a:44.35",7.6,6.2,6.3,4,2.79,3.12,1.31,"SD16a","SD16","SD",12,6.72836037481148,10,14,NA,NA,NA,NA,NA,NA,NA
"6",30,0.941841997544003,"B01",2012,329479.311262,411467.821227999,"Supralittoral Sediment","Coastal Sand Dunes","SD7:42.73",7.6,4.7,6.4,4.4,2.31,2.82,2.49,"SD7","SD7","SD",9.34,3.09811770811461,0,2,NA,NA,NA,NA,NA,NA,NA
"7",25,0.944544109778743,"B01",2012,329597.698343,411504.994178,"Supralittoral Sediment","Coastal Sand Dunes","SD15b:43.45",6.9,5.8,5.7,4.5,2.91,2.62,2.44,"SD15b","SD15","SD",32.38,13.3707391967186,0,0,NA,NA,NA,NA,NA,NA,NA
"8",18,0.915490306794655,"B01",2012,329139.49884,411313.989110999,"Supralittoral Sediment","Coastal Sand Dunes","SD15a:58.59",7.8,7.9,6,3.4,3.04,2.76,1.99,"SD15a","SD15","SD",7.676,2.57168556916795,0,0,NA,NA,NA,NA,NA,NA,NA
"9",35,0.942507188876351,"B01",2012,329356.478645,411156.792805999,"Supralittoral Sediment","Coastal Sand Dunes","SD16:42.67",7.6,5.9,6.1,4.2,2.83,2.8,2.09,"SD16","SD16","SD",68.88,28.1003706974362,0,25,NA,NA,NA,NA,NA,NA,NA
"10",32,0.960645612097894,"B01",2012,329608.601834999,411083.465197,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:42.55",7.5,4.7,5.8,3.9,2.24,3.17,2.53,"SD12a","SD12","SD",36.4,15.3460092532228,7,1,NA,NA,NA,NA,NA,NA,NA
