wrong_name,right_name
- seedling/sp,
Abies grandis (c),Abies [spp] (c)
Abies grandis (g),Abies [spp] (g)
Absent seedling/sp,
Acer campestre (s),Acer campestre
Acer platanoides (g),Acer platanoides
Acer pseudoplatanus (s),Acer pseudoplatanus
Alnus glutinosa (s),Alnus glutinosa
Betula pendula (s),Betula pendula
Betula pendula x pubescens (c),Betula pubescens x pendula (c)
Betula pendula x pubescens (g),Betula pubescens x pendula (g)
Betula pubescens (s),Betula pubescens
Calluna vulgaris (g),
Carpinus betulus (c),Carpinus betulus
Castanea sativa (c),Castanea sativa
Cornus sanguinea (s),Cornus sanguinea
Corylus avellana (s),Corylus avellana
Crataegus laevigata (c),Crataegus laevigata
Crataegus laevigata (g),Crataegus laevigata
Crataegus laevigata (s),Crataegus laevigata
Crataegus monogyna (s),Crataegus monogyna
Crataegus seedling/sp,Crataegus [spp]
Fagus sylvatica (s),Fagus sylvatica
Frangula alnus (c),Frangula alnus
Frangula alnus (g),Frangula alnus
Frangula alnus (s),Frangula alnus
Fraxinus excelsior,Fraxinus excelsior (g)
Ilex aquifolium (s),Ilex aquifolium
Ilex quercifolium (g),
Ilex seedling/sp,
Juniperus communis sub communis (c),Juniperus communis subsp.communis
Juniperus communis sub communis (g),Juniperus communis subsp.communis
Juniperus communis sub communis (s),Juniperus communis subsp.communis
Larix kaempferi (g),Larix kaempferi
Larix seedling/sp,Larix [spp]
Ligustrum vulgare (c),Ligustrum vulgare
Ligustrum vulgare (s),Ligustrum vulgare
Malus sylvestris (g),Malus sylvestris
Malus sylvestris (s),Malus sylvestris
Malus sylvestris sl (s),Malus sylvestris
Myrica gale (g),Myrica gale
Myrica gale (s),Myrica gale
Picea sitchensis (g),Picea sitchensis
Pinus nigra (g),Pinus nigra
Pinus nigra sub laricio,Pinus nigra
Pinus nigra sub laricio (c),Pinus nigra
Pinus nigra sub laricio (g),Pinus nigra
Pinus nigra sub laricio (s),Pinus nigra
Pinus seedling/sp,Pinus [spp]/seedling
Platanus occidentalis (c),
Platanus occidentalis (g),
Platanus occidentalis (s),
Populas seedling/sp,
Populus tremula (c),
Prunus domestica (c),Prunus domestica
Prunus inosa (c),Prunus [spp]
Prunus inosa (g),Prunus [spp]
Prunus inosa (s),Prunus [spp]
Prunus padus (s),Prunus padus
Prunus seedling/sp,Prunus [spp]
Pseudotsuga menziesii (g),Pseudotsuga menziesii
Quercus cerris (c),Quercus cerris
Quercus petraea x robur (c),Quercus robur x petraea (c)
Quercus robur (s),Quercus robur
Quercus x rosacea,Quercus seedling/sp
Quercus x rosacea (c),Quercus seedling/sp
Quercus x rosacea (g),Quercus seedling/sp
Quercus x rosacea (s),Quercus seedling/sp
Rhamnus cathartica (c),Rhamnus cathartica
Rhamnus cathartica (g),Rhamnus cathartica
Rhamnus cathartica (s),Rhamnus cathartica
Rhododendron ponticum (s),Rhododendron ponticum
Ribes nigrum (c),Ribes nigrum
Ribes nigrum (g),Ribes nigrum
Ribes nigrum (s),Ribes nigrum
Rosa arvensis (c),Rosa arvensis
Rosa arvensis (g),Rosa arvensis
Rosa arvensis (s),Rosa arvensis
Rosa canina agg (c),Rosa canina agg.
Rosa canina agg (g),Rosa canina (g)
Rosa canina agg (s),Rosa canina (s)
Rosa canina sstr (s),Rosa canina sens.str.
Rubus fruticosus agg (c),Rubus fruticosus agg.
Rubus fruticosus agg (s),Rubus fruticosus agg.
Rubus idaeus (c),Rubus idaeus
Rubus idaeus (s),Rubus idaeus
Rubus seedling/sp,Rubus [spp]
Ruscus aculeatus (c),Ruscus aculeatus
Ruscus aculeatus (s),Ruscus aculeatus
Salix aurita (c),Salix aurita
Salix aurita (s),Salix aurita
Salix aurita x cinerea (c),Salix aurita
Salix cinerea (s),Salix cinerea
Salix cinerea s oleifolia (c),Salix cinerea
Salix cinerea sub Oleifolia (c),Salix cinerea
Salix fragilis (c),Salix fragilis
Salix hybrids (c),Salix 'indeterminate hybrids'
Salix x reichardtii (g),Salix seedling/sp
Sambucus nigra (s),Sambucus nigra
Sorbus aria (c),Sorbus aria
Sorbus aria (g),Sorbus aria
Sorbus aria (s),Sorbus aria
Sorbus aucuparia (s),Sorbus aucuparia
Sorbus seedling/sp,Sorbus [spp]
Sorbus torminalis (c),Sorbus torminalis
Sorbus torminalis (g),Sorbus torminalis
Symphoricarpos albus (c),Symphoricarpos albus
Symphoricarpos albus (s),Symphoricarpos albus
Taxus baccata (s),Taxus baccata
Tilia cordata (c),Tilia cordata
Tilia platyphyllos (c),Tilia platyphyllos
Tsuga heterophylla (c),Tsuga heterophylla
Tsuga heterophylla (g),Tsuga heterophylla
Ulex europaeus (c),
Ulex europaeus (s),
Ulmus procera,Ulmus procera (g)
Vaccinium myrtillus (g),Vaccinium myrtillus
Vaccinium myrtillus (s),Vaccinium myrtillus
Viburnum lantana (c),
Viburnum opulus (c),
