VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
5612,Verrucaria funckii,,,02Mar2000 0:00:00,,,
5614,Verrucaria glaucina,,,02Mar2000 0:00:00,,,
5615,Verrucaria halizoa,,,02Mar2000 0:00:00,,,
5616,Verrucaria hochstetteri,,,02Mar2000 0:00:00,,,
5617,Verrucaria hydrela,,,02Mar2000 0:00:00,,,
5619,Verrucaria knowlesiae,,,02Mar2000 0:00:00,,,
5620,Verrucaria latebrosa,,,02Mar2000 0:00:00,,,
5621,Verrucaria latericola,,,02Mar2000 0:00:00,,,
5623,Verrucaria margacea,,,02Mar2000 0:00:00,,,
5624,Verrucaria maura,,,02Mar2000 0:00:00,,,
5625,Verrucaria mucosa,,,02Mar2000 0:00:00,,,
5627,Verrucaria murina,,,02Mar2000 0:00:00,,,
5628,Verrucaria nigrescens,,,02Mar2000 0:00:00,,,
5629,Verrucaria ochrostoma,,,02Mar2000 0:00:00,,,
5631,Verrucaria parmigerella,,,02Mar2000 0:00:00,,,
5632,Verrucaria pinguicula,,,02Mar2000 0:00:00,,,
5633,Verrucaria praetermissa,,,02Mar2000 0:00:00,,,
5636,Verrucaria sandstedei,,,02Mar2000 0:00:00,,,
5638,Verrucaria striatula,,,02Mar2000 0:00:00,,,
5639,Verrucaria viridula,,,02Mar2000 0:00:00,,,
5643,Vezdaea aestivalis,,,02Mar2000 0:00:00,,,
5644,Vezdaea leprosa,,,02Mar2000 0:00:00,,,
5646,Vezdaea rheocarpa,,,02Mar2000 0:00:00,,,
5649,Xerotrema megalospora,,,02Mar2000 0:00:00,,,
5651,Xylographa trunciseda,,,02Mar2000 0:00:00,,,
5652,Xylographa vitiligo,,,02Mar2000 0:00:00,,,
5655,Zamenhofia rosei,,,02Mar2000 0:00:00,,,
5657,Phalaris minor,,,02Mar2000 0:00:00,,,
5658,Ranunculus muricatus,,,02Mar2000 0:00:00,,,
5661,Ranunculus marginatus,,,02Mar2000 0:00:00,,,
5663,Hordeum distichon,,,02Mar2000 0:00:00,Vas_8281,Hordeum distichon,
168,Antennaria dioica,,,02Mar2000 0:00:00,Vas_116,Antennaria dioica,
171,Anthoxanthum odoratum,anthox odora,,02Mar2000 0:00:00,Vas_121,Anthoxanthum odoratum,
173,Anthriscus sylvestris,,,02Mar2000 0:00:00,Vas_125,Anthriscus sylvestris,
175,Antirrhinum majus,,,02Mar2000 0:00:00,Vas_127,Antirrhinum majus,
176,Apera spica-venti,,,02Mar2000 0:00:00,,,
177,Aphanes arvensis,,,02Mar2000 0:00:00,Vas_132,Aphanes arvensis,
178,Aphanes microcarpa,,,02Mar2000 0:00:00,,,
180,Apium inundatum,,,02Mar2000 0:00:00,Vas_135,Apium inundatum,
181,Apium nodiflorum,,,02Mar2000 0:00:00,,,
183,Aquilegia vulgaris,,,02Mar2000 0:00:00,,,
184,Arabidopsis thaliana,,,02Mar2000 0:00:00,,,
186,Arctium minus,,,02Mar2000 0:00:00,Vas_2405,Arctium minus,
187,Arctium minus ssp nemorosum,,,02Mar2000 0:00:00,,,
189,Arctostaphylos uva-ursi,,,02Mar2000 0:00:00,Vas_155,Arctostaphylos uva-ursi,
190,Arctostaphylos alpinus,,,02Mar2000 0:00:00,,,
191,Arenaria balearica,,,02Mar2000 0:00:00,,,
192,Arenaria leptoclados,,,02Mar2000 0:00:00,,,
193,Arenaria norvegica,,,02Mar2000 0:00:00,,,
195,Armeria maritima,,,02Mar2000 0:00:00,Vas_166,Armeria maritima,
196,Armoracia rusticana,,,02Mar2000 0:00:00,,,
198,Artemisia absinthium,,,02Mar2000 0:00:00,,,
201,Arum maculatum,arum macul,,02Mar2000 0:00:00,Vas_176,Arum maculatum,
203,Asplenium adiantum-nigrum,,,02Mar2000 0:00:00,,,
204,Asplenium marinum,,,02Mar2000 0:00:00,,,
