site-id,MOORH
site-name,Moor House
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation (1 day),Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-07-01,44.32652,1.5,9.7,96.6,11.1,8.6,14.7,959.6,11.4,223.4,3.5,0.48287,11.1,72.3,11.5,60.5
2017-07-02,42.66751,0.0,9.0,97.3,9.8,7.5,12.7,963.6,6.6,261.0,4.5,0.30468,10.9,69.1,11.3,56.8
2017-07-03,43.91817,0.8,9.0,91.1,10.8,9.1,13.3,962.8,10.6,253.8,4.1,0.83366,11.0,68.2,11.4,55.3
2017-07-04,44.18524,16.8,9.6,98.9,10.5,8.1,12.6,962.9,2.5,157.9,3.6,0.09731,11.0,71.5,11.3,60.3
2017-07-05,,0.2,,,11.3,9.4,14.5,963.9,9.8,95.1,5.8,,11.2,75.5,11.5,65.1
2017-07-06,,0.8,,,15.1,12.8,19.4,960.6,8.8,217.7,2.7,,11.7,73.7,12.1,62.4
2017-07-07,,1.0,,,12.5,7.8,14.7,960.2,3.5,230.7,3.5,,12.1,71.0,12.5,58.9
2017-07-08,42.82458,12.2,,,10.4,5.9,15.1,962.4,18.1,274.0,3.6,,11.5,70.1,12.0,56.9
2017-07-09,,0.5,,,12.1,9.2,15.3,956.8,5.6,211.6,3.6,,11.7,67.2,12.1,53.6
2017-07-10,,7.0,,,11.3,8.1,14.7,953.1,7.4,244.3,2.9,,11.9,71.2,12.3,59.1
2017-07-11,49.39809,4.6,,,9.4,7.6,13.0,953.3,4.8,173.2,3.1,,11.7,74.5,12.0,63.4
2017-07-12,47.98253,31.1,,,11.9,7.2,16.8,962.4,15.6,182.9,3.6,,11.6,71.8,11.8,59.9
2017-07-13,47.26423,8.2,,,12.2,9.4,15.9,963.2,9.2,203.7,4.1,,11.8,68.1,12.1,55.3
2017-07-14,47.06354,1.5,,,10.1,8.1,13.5,962.6,6.9,277.3,4.6,0.99505,11.6,73.9,11.8,62.0
2017-07-15,52.25219,3.6,11.3,100.0,12.9,9.8,15.2,961.6,1.9,206.5,4.8,-0.00579,11.6,75.0,11.8,63.6
2017-07-16,47.86329,4.4,8.6,82.1,11.8,9.1,14.4,966.2,13.0,298.8,4.5,1.64128,11.8,74.5,12.2,64.7
2017-07-17,50.50525,17.1,8.8,76.6,13.4,8.5,17.9,968.0,14.9,269.1,3.1,2.06377,11.8,70.2,12.2,59.2
2017-07-18,44.46331,0.0,9.5,68.2,16.6,12.1,21.3,963.2,15.5,108.4,6.8,4.06303,12.4,65.9,12.8,53.2
2017-07-19,41.64358,12.3,11.2,88.9,14.6,11.3,18.8,951.3,13.9,105.7,8.0,1.40681,12.8,65.2,13.1,55.0
2017-07-20,46.41152,0.6,8.6,87.0,10.7,8.4,14.5,950.0,6.2,245.6,4.3,0.98117,12.8,74.0,13.1,64.7
2017-07-21,46.7188,1.7,9.2,83.2,12.5,8.5,16.2,950.3,6.4,134.1,8.3,1.69117,12.1,73.9,12.2,63.5
2017-07-22,50.92658,19.6,10.0,88.8,13.0,10.8,15.4,952.2,7.9,149.4,4.3,1.06225,12.3,73.3,12.5,64.3
2017-07-23,54.84384,29.7,9.4,89.4,11.8,8.4,14.9,956.2,8.0,169.9,4.7,0.94468,12.3,74.7,12.4,65.9
2017-07-24,53.00711,0.0,9.2,86.1,12.1,10.0,15.4,961.0,15.6,35.8,7.4,1.54956,12.1,73.9,12.4,65.6
2017-07-25,47.45368,5.2,9.6,87.3,12.5,9.5,16.8,960.2,8.2,150.4,2.4,0.95648,12.3,70.7,12.6,63.2
2017-07-26,49.01979,10.0,10.2,91.6,12.8,8.4,15.9,947.3,5.1,206.6,5.5,0.79654,12.5,72.9,12.8,63.7
2017-07-27,49.55218,2.7,8.5,91.6,9.8,7.6,12.4,946.3,4.8,224.1,3.9,0.64114,12.2,75.3,12.3,66.1
2017-07-28,52.62087,2.1,9.1,90.9,11.0,8.9,13.4,946.2,9.2,216.4,4.8,0.86885,12.0,75.5,12.1,66.3
2017-07-29,54.26605,1.9,8.9,89.3,11.0,9.5,13.7,948.5,5.1,219.5,4.2,0.86092,12.0,75.7,12.2,66.4
2017-07-30,55.58207,5.8,9.1,91.2,10.9,9.4,13.1,947.1,7.0,198.1,4.6,0.77903,11.9,75.8,12.1,66.4
2017-07-31,53.91375,1.0,8.9,89.7,11.0,8.9,13.8,951.3,10.1,204.9,5.3,0.99723,12.0,75.8,12.1,66.5
