timestamp,2017-12-04 14:35:24
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,252.7
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-11-01,53.18421,3.2,8.1,96.1,8.3,7.5,9.3,959.9,0.8,223.3,4.0,0.24533,8.6,75.6,8.5,67.2
2017-11-02,50.93163,9.8,6.0,87.7,5.2,2.3,7.8,959.4,0.3,166.9,3.4,0.53787,8.4,76.1,8.3,67.3
2017-11-03,54.44742,0.0,6.3,92.6,5.0,4.2,5.8,954.3,-0.1,210.8,2.8,0.30152,8.0,76.3,7.9,67.3
2017-11-04,57.25725,6.3,6.3,97.1,4.3,1.1,6.4,947.2,2.0,259.8,3.6,0.14796,7.9,75.7,7.8,67.3
2017-11-05,49.92781,10.0,5.1,93.2,1.9,0.2,4.6,957.1,-0.7,279.0,3.8,0.2603,7.3,73.8,7.2,67.4
2017-11-06,53.75228,19.2,6.1,96.7,3.6,0.3,6.4,963.1,-0.4,164.4,4.8,0.09613,6.9,72.4,6.8,64.3
2017-11-07,55.6799,6.3,6.5,96.7,4.7,2.1,7.5,957.9,-0.5,256.2,5.6,0.12047,7.3,74.3,7.2,63.4
2017-11-08,58.45326,34.2,5.6,93.9,3.0,0.4,6.2,965.3,-0.6,171.2,3.4,0.21502,6.8,76.4,6.7,65.6
