timestamp,2018-12-03 16:14:59
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,161.9
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2018-11-01,46.65261,6.2,5.9,94.5,3.7,1.2,6.5,949.7,2.3,290.7,3.8,0.26588,6.6,73.6,6.5,62.0
2018-11-02,46.96562,0.4,5.9,92.2,4.2,1.8,7.1,963.7,1.9,265.6,4.0,0.39709,6.6,74.2,6.5,63.6
2018-11-03,51.97789,7.4,8.1,99.3,7.7,4.9,9.3,956.8,0.2,183.5,8.9,0.02001,6.9,75.2,6.8,64.0
2018-11-04,50.25815,2.1,8.7,99.4,8.9,8.4,9.5,950.8,0.6,178.8,5.9,0.05308,7.6,75.8,7.8,64.7
2018-11-05,46.60595,0.3,7.3,86.1,8.5,5.8,11.3,948.5,0.3,132.6,5.5,0.9479,7.7,75.9,7.7,64.4
2018-11-06,45.81663,0.2,8.4,90.2,9.9,8.3,11.0,940.7,-1.6,152.6,8.5,0.80293,7.8,72.0,7.8,64.3
2018-11-07,48.67839,8.4,8.2,97.8,8.3,5.9,9.9,938.2,0.5,169.1,7.9,0.17499,8.0,72.5,8.0,64.7
2018-11-08,52.38226,3.6,6.8,91.9,6.2,4.2,8.0,952.2,-0.5,177.1,7.2,0.454,7.7,75.8,7.6,65.7
2018-11-09,50.61327,10.6,7.1,94.2,6.6,5.6,7.8,943.1,0.2,150.7,11.1,0.45655,7.4,76.0,7.3,65.7
2018-11-10,53.21539,2.7,7.4,98.3,6.6,4.7,7.5,933.7,1.3,181.9,6.4,0.1249,7.4,76.1,7.3,66.2
2018-11-11,47.79333,5.3,6.9,96.9,5.8,4.6,6.7,938.6,0.1,178.3,5.7,0.18322,7.4,76.2,7.3,65.8
2018-11-12,52.06761,5.6,7.2,97.3,6.4,5.1,7.8,946.5,0.2,192.0,7.0,0.19056,7.2,76.3,7.1,66.7
2018-11-13,50.61918,7.7,7.2,96.2,6.5,5.0,7.8,956.8,1.6,227.5,5.9,0.25571,7.1,76.4,7.1,66.7
2018-11-14,51.94443,1.0,8.1,97.3,8.1,6.9,9.0,959.4,-0.9,190.8,7.5,0.18033,7.4,76.3,7.5,66.2
2018-11-15,49.85735,0.0,7.3,87.0,8.1,5.6,11.3,961.6,-0.9,167.2,4.2,0.75955,7.4,76.3,7.3,66.0
2018-11-16,47.65562,0.2,8.7,96.9,9.3,7.3,10.9,968.0,-1.5,142.6,5.1,0.17783,7.7,73.9,7.7,65.8
2018-11-17,39.35938,0.2,5.4,73.2,6.4,3.2,10.7,971.7,-3.5,102.1,9.6,1.87049,7.3,70.4,7.3,60.1
2018-11-18,39.4963,0.2,5.2,74.9,5.6,3.2,8.6,974.1,-3.7,80.9,9.0,1.61639,6.7,68.0,6.6,55.1
2018-11-19,42.96328,4.1,5.8,92.1,3.9,2.3,5.2,969.5,-1.2,78.4,6.8,0.43692,6.4,67.0,6.5,54.2
2018-11-20,49.13811,32.4,5.5,96.5,2.4,1.4,3.6,959.0,0.7,69.6,10.3,0.2226,5.7,74.1,5.5,63.8
2018-11-21,52.61576,15.4,5.0,96.8,1.0,0.1,1.9,956.0,-2.0,103.3,9.3,0.13302,4.6,75.7,4.3,65.9
2018-11-22,48.81257,1.3,5.3,94.7,2.0,0.0,3.0,962.3,-1.2,103.1,4.6,0.21862,4.8,75.9,4.3,65.8
2018-11-23,50.91025,0.8,5.6,96.3,2.8,2.1,3.7,959.1,-0.5,109.9,4.8,0.18104,5.3,76.0,4.9,65.5
2018-11-24,50.42993,0.7,5.7,96.3,3.1,2.0,4.5,958.0,-0.9,69.9,6.8,0.19395,5.3,73.2,5.1,65.4
2018-11-25,51.48711,4.8,5.5,97.6,2.1,1.2,3.1,958.2,-0.8,70.7,7.6,0.12163,5.1,75.9,4.8,66.0
2018-11-26,52.89149,1.0,5.3,97.6,1.7,0.8,3.2,959.9,-1.5,87.0,4.9,0.09124,4.8,76.4,4.4,66.2
2018-11-27,50.58406,15.5,5.7,98.8,2.6,1.6,4.5,953.8,-2.0,131.6,9.7,0.06187,4.6,74.8,4.3,66.4
2018-11-28,55.37604,7.5,8.0,98.7,7.6,4.2,11.1,941.1,0.0,182.6,9.8,0.02491,5.3,76.3,5.3,66.8
2018-11-29,55.66608,9.6,7.6,99.6,6.6,4.8,10.8,935.5,-0.1,196.4,9.0,-0.01575,6.3,76.2,6.3,66.8
2018-11-30,54.31921,6.7,5.9,97.0,3.3,1.2,4.8,942.3,0.6,238.5,5.4,0.1514,5.8,76.3,5.7,66.9
