timestamp,2019-08-01 13:15:35
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,N/A
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-07-01,39.48569,,9.2,93.3,10.8,8.4,13.2,961.8,4.4,289.3,5.6,0.60296,11.1,62.2,11.3,52.1
2019-07-02,35.55455,,8.0,82.6,10.7,8.0,14.0,969.4,10.2,290.9,4.1,1.45543,10.8,61.5,11.0,51.9
2019-07-03,32.647,,8.3,80.0,11.8,6.5,16.6,972.0,16.6,248.7,2.4,1.63084,10.7,60.4,11.0,51.3
2019-07-04,34.48963,,9.6,92.9,11.6,9.4,14.8,968.1,10.1,302.2,4.2,0.75746,11.0,59.0,11.3,50.6
2019-07-05,33.82938,,10.5,96.5,12.3,10.0,15.2,962.2,6.0,292.2,4.4,0.39171,11.0,58.0,11.2,50.1
2019-07-06,31.32092,,8.6,80.8,12.3,9.3,16.6,958.1,17.8,242.3,4.9,1.98418,11.3,57.0,11.6,49.4
2019-07-07,29.59949,,7.6,72.2,11.9,8.9,16.9,962.1,13.0,159.4,4.1,2.29079,11.4,55.4,11.7,48.0
2019-07-08,28.77457,,7.7,72.1,12.1,8.5,15.0,965.5,10.4,166.0,3.3,2.06594,11.3,53.7,11.6,46.5
2019-07-09,31.76498,,10.6,99.8,11.9,10.5,13.8,964.3,3.5,198.8,2.5,0.10357,11.4,53.4,11.7,45.7
2019-07-10,32.51208,,11.6,99.4,13.5,12.1,16.5,960.9,5.7,192.1,3.0,0.20198,11.6,54.0,11.8,46.1
2019-07-11,36.5407,,11.4,94.2,14.1,12.1,17.5,955.8,8.1,232.7,3.3,0.74686,11.9,55.8,12.1,47.3
2019-07-12,35.29757,,11.0,93.4,13.7,10.7,18.4,960.2,11.0,314.6,3.7,0.86154,12.1,55.0,12.3,47.3
2019-07-13,31.98938,,10.9,91.8,13.9,11.0,18.5,967.0,11.7,280.2,3.0,1.04871,12.3,53.9,12.5,46.5
2019-07-14,31.76573,,9.9,86.5,13.3,10.1,16.2,969.0,7.2,115.4,3.5,1.20861,12.2,52.8,12.4,45.6
2019-07-15,30.43014,,9.9,80.6,14.8,9.9,19.1,966.7,12.8,170.8,2.5,2.00633,12.2,51.8,12.4,44.6
2019-07-16,29.20788,,11.2,88.6,14.9,11.5,18.6,963.0,8.3,186.6,2.9,1.13328,12.3,50.5,12.6,43.2
2019-07-17,30.68653,,10.9,96.0,13.1,11.9,15.9,956.8,5.3,190.9,4.5,0.46948,12.1,49.6,12.4,42.2
2019-07-18,30.39496,,9.7,91.0,12.2,9.3,15.5,952.4,8.7,245.6,3.9,0.93469,12.0,49.3,12.3,41.9
2019-07-19,31.89857,,11.3,98.3,13.2,11.5,15.5,951.4,4.8,176.5,4.6,0.24639,11.9,49.2,12.2,42.0
2019-07-20,39.01148,,11.0,96.0,13.2,9.6,15.1,949.9,5.8,248.6,4.5,0.49174,12.3,55.3,12.4,47.9
2019-07-21,37.1364,,11.1,97.7,13.0,9.9,14.8,960.1,4.6,206.2,4.6,0.29062,11.9,55.9,12.1,49.2
2019-07-22,41.10476,,13.3,99.8,15.6,13.8,17.5,960.9,4.2,218.9,7.4,0.09769,12.3,58.8,12.4,51.1
2019-07-23,37.96837,,13.3,84.6,18.7,13.7,24.3,962.0,12.4,182.7,5.1,2.21173,12.8,57.1,13.0,50.0
2019-07-24,41.75492,,13.9,92.5,17.8,15.1,22.0,957.4,10.0,181.2,4.6,1.22687,13.6,70.2,14.3,58.1
2019-07-25,42.49446,,13.7,70.3,22.5,16.2,29.1,956.2,11.7,140.6,5.3,5.20153,13.6,66.7,14.2,55.1
2019-07-26,38.33956,,13.6,90.5,17.6,14.3,20.1,955.6,9.6,168.4,2.8,1.24533,14.0,62.5,14.3,52.0
2019-07-27,46.29695,,11.2,98.7,13.1,12.1,14.6,953.6,1.6,250.2,2.3,0.14021,13.5,68.9,13.7,58.7
2019-07-28,43.20286,,13.2,95.4,16.2,12.5,19.4,951.0,14.5,111.2,4.3,0.91141,13.2,74.2,13.6,63.3
2019-07-29,48.30828,,11.4,92.2,14.4,12.0,17.8,952.6,7.1,174.1,2.6,0.67493,13.5,73.8,14.1,61.8
2019-07-30,48.02496,,11.3,87.1,15.2,13.1,19.1,951.8,5.8,78.3,7.2,1.64259,13.3,72.2,13.6,61.2
2019-07-31,,,12.4,98.4,14.7,13.5,16.2,954.4,4.2,74.2,5.2,0.24886,13.3,74.8,13.5,64.1
