timestamp,2021-03-01 14:32:00
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,136.3
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
2021-02-01,57.7,0.0,4.1,84.9,0.0,-1.3,1.4,941.8,-0.4,89.1,8.5,0.7,1.6,74.4,1.6,64.6,,0.232
2021-02-02,57.5,15.8,4.4,93.1,-0.4,-1.5,1.1,936.2,0.6,91.0,14.4,0.4,1.5,72.6,1.5,62.1,7.15594,0.641
2021-02-03,57.5,11.1,4.9,97.4,0.6,0.2,1.3,939.0,0.4,78.8,11.8,0.2,1.6,73.1,1.6,62.8,18.97167,0.679
2021-02-04,57.5,10.6,5.3,99.5,1.3,0.3,2.2,950.0,0.5,101.1,11.6,0.1,1.6,75.2,1.4,64.1,22.18873,0.641
2021-02-05,75.2,5.4,5.8,99.5,2.7,2.0,3.3,951.0,1.6,89.2,8.0,0.2,1.5,75.5,1.4,64.5,,0.25
2021-02-06,68.9,7.3,5.2,99.6,1.2,-1.0,2.5,953.9,0.6,68.7,12.0,0.1,1.9,75.6,1.7,64.7,,0.158
2021-02-07,66.9,1.3,4.0,99.9,-2.9,-3.6,-1.1,955.8,-0.8,69.0,10.8,0.0,1.7,75.8,1.6,65.0,4.88537,0.652
2021-02-08,66.9,1.7,3.6,99.1,-4.1,-4.9,-3.2,953.8,-2.2,64.7,9.2,0.0,1.7,76.0,1.6,65.1,7.93643,0.662
2021-02-09,66.9,1.8,3.3,94.8,-4.7,-6.1,-3.5,954.5,-3.4,73.0,7.8,0.1,1.6,74.5,1.7,64.7,10.40321,0.671
2021-02-10,66.9,1.1,3.3,93.4,-4.6,-5.6,-3.5,962.5,-2.6,61.0,6.1,0.1,1.5,72.0,1.7,61.8,8.783,0.683
2021-02-11,66.9,0.1,2.8,77.8,-4.1,-4.8,-2.8,969.6,-4.7,102.6,9.8,0.5,1.5,71.2,1.7,61.0,7.87132,0.638
2021-02-12,66.9,0.3,3.0,84.1,-4.4,-6.2,-2.7,972.8,-3.2,123.0,11.1,0.4,1.3,70.7,1.6,60.4,5.99271,0.606
2021-02-13,66.9,2.7,2.4,67.4,-4.5,-6.9,-1.7,970.2,-0.9,137.9,12.4,1.0,1.1,70.4,1.5,59.9,11.07385,0.623
2021-02-14,66.9,10.3,5.0,89.7,1.7,-2.0,4.3,959.0,0.5,158.3,9.5,0.5,1.0,,1.3,,12.69174,0.484
2021-02-15,74.3,2.8,6.9,99.6,5.2,4.1,6.6,956.3,1.2,193.1,4.9,0.2,0.8,,1.3,,,0.174
2021-02-16,73.0,5.5,6.8,99.6,5.1,3.1,6.9,947.1,0.7,203.0,6.2,0.1,1.8,76.1,2.4,65.2,,0.161
2021-02-17,69.4,3.5,6.4,94.4,4.9,3.5,6.5,945.8,3.3,187.7,7.6,0.6,2.7,76.2,2.9,65.4,,0.186
2021-02-18,68.8,3.2,6.3,97.9,4.1,2.1,7.0,939.7,0.9,197.9,7.0,0.2,3.4,76.2,3.5,65.6,,0.175
2021-02-19,77.0,6.3,7.0,99.1,5.3,1.7,8.0,942.2,0.2,171.6,8.9,0.1,3.3,76.3,3.4,65.8,,0.14
2021-02-20,74.7,13.4,8.2,98.2,8.1,5.6,9.6,939.9,0.4,172.0,9.3,0.1,4.7,76.2,5.1,65.8,,0.132
