site-id,MOORH,,,,,,,,,,,,,,,
site-name,Moor House,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,"COSMOS probe soil moisture content, weighted mean method (1day)",Total precipitation (1 day),Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
01/06/2017,33.0,0.1,10.5,93.0,13.0,11.2,16.3,962.8,11.3,205.6,5.0,0.9,11.0,50.1,11.3,44.2
02/06/2017,34.0,3.9,9.3,92.6,10.9,7.8,14.6,959.9,7.3,223.0,2.7,0.6,11.0,50.3,11.3,44.7
03/06/2017,33.1,23.5,7.8,81.6,10.2,6.2,14.0,957.2,14.2,188.4,3.5,1.4,10.6,50.2,10.9,44.5
04/06/2017,30.5,2.4,7.8,87.3,9.3,6.6,12.7,956.2,12.3,208.5,4.2,1.1,10.5,49.7,10.8,43.8
05/06/2017,35.4,26.3,8.6,99.8,8.7,6.5,10.6,944.5,2.1,176.7,6.0,0.0,10.2,56.5,10.3,47.7
06/06/2017,48.1,17.6,8.4,100.0,8.2,6.9,10.1,935.0,3.0,256.9,7.9,0.0,9.7,74.6,9.7,64.0
07/06/2017,43.4,4.6,7.5,91.6,7.9,4.9,11.3,949.5,8.1,269.0,7.1,0.7,9.0,75.6,9.1,64.5
08/06/2017,46.8,12.1,9.6,100.0,10.4,7.8,11.9,947.5,2.9,194.1,6.2,0.0,9.7,75.9,9.9,64.6
09/06/2017,44.9,0.9,9.0,94.7,10.2,8.1,13.8,952.1,8.0,216.6,4.6,0.5,9.9,75.2,10.2,64.2
10/06/2017,47.9,13.7,10.1,100.0,11.1,8.7,15.0,954.9,3.3,194.3,6.6,0.0,10.1,75.7,10.3,64.9
11/06/2017,47.1,4.2,9.3,99.1,10.0,8.8,10.9,951.7,1.3,225.4,7.8,0.1,10.1,76.2,10.2,64.6
12/06/2017,47.6,0.2,8.9,98.2,9.4,8.4,10.5,956.4,3.3,270.8,5.9,0.2,9.8,76.4,9.8,65.1
13/06/2017,45.9,0.1,9.9,99.6,10.9,8.7,13.7,962.2,4.5,220.9,3.5,0.1,9.8,74.9,10.0,64.0
14/06/2017,46.3,0.0,11.2,91.8,14.2,10.2,18.4,960.6,10.2,186.7,3.3,0.9,10.5,70.5,10.9,58.7
15/06/2017,43.7,3.5,9.3,95.6,10.6,9.0,14.1,955.8,8.6,227.0,5.5,0.5,10.8,69.2,11.2,55.8
16/06/2017,45.6,0.8,9.9,98.7,11.0,8.2,13.1,965.4,5.2,253.3,4.2,0.2,10.5,72.9,10.8,58.6
17/06/2017,42.5,2.7,11.4,85.1,15.8,12.3,19.3,969.8,15.8,210.2,3.5,1.7,11.2,68.0,11.5,55.1
18/06/2017,41.8,4.5,12.2,84.4,16.8,12.5,21.1,968.2,14.7,176.4,2.9,1.6,11.8,63.5,12.2,52.1
19/06/2017,41.2,10.7,11.9,77.6,17.8,12.8,22.2,965.5,16.1,221.6,2.8,2.3,12.4,60.1,12.7,50.5
20/06/2017,38.5,0.0,11.6,94.6,14.3,11.3,17.5,965.3,16.9,97.5,5.6,0.9,12.7,58.3,13.1,49.3
21/06/2017,40.5,5.0,13.9,92.6,17.5,11.0,22.6,959.3,10.0,160.0,4.5,0.9,12.8,58.0,13.0,49.3
22/06/2017,40.8,0.6,10.7,95.3,12.8,9.5,16.9,955.0,6.6,253.4,3.7,0.5,13.0,58.0,13.2,49.1
23/06/2017,43.9,5.3,10.2,99.8,11.3,9.8,13.3,954.7,2.4,242.2,5.3,0.1,12.1,59.3,12.3,50.1
24/06/2017,40.5,0.0,8.6,92.0,10.0,7.9,13.1,954.1,9.1,275.0,5.8,0.8,11.5,60.1,11.8,50.5
25/06/2017,41.0,1.1,7.7,86.1,9.3,6.5,12.5,954.3,13.6,290.2,5.9,1.3,11.0,59.1,11.4,49.7
26/06/2017,38.8,7.2,8.1,86.6,10.0,6.4,13.6,958.5,12.6,216.7,2.6,1.0,11.1,58.1,11.5,48.9
27/06/2017,46.7,18.0,8.9,99.7,9.1,7.7,11.0,952.8,4.8,115.2,8.2,0.1,11.1,64.8,11.2,54.6
28/06/2017,46.8,10.2,8.2,98.9,8.1,7.0,9.2,946.1,5.4,59.2,11.2,0.2,10.8,74.4,10.6,60.4
29/06/2017,52.0,16.2,9.2,100.0,9.6,7.8,10.8,941.0,10.4,110.1,9.4,0.1,9.9,75.1,10.1,65.6
30/06/2017,47.3,0.3,10.1,99.8,11.1,9.6,13.4,951.5,12.1,157.9,5.8,0.2,10.8,75.4,11.2,64.5
