"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"04-12-2014 12.00",3.1,954,0,83,2.1,102,68.7,10.7,309.2,327.2,53.4,49.2
"04-12-2014 13.00",2.9,961,0.1,88.2,0.8,141,63.2,9.6,317.9,333.6,53.5,49.3
"04-12-2014 14.00",3.1,960,0,86.6,0.8,175,42.5,6.8,317.1,332.5,53.3,49.3
"04-12-2014 15.00",2.8,960,0,89,1,176,19.8,3.2,316,329.4,53.4,49.3
"04-12-2014 16.00",2.9,959.5,0,80.3,1.6,38,4,0.9,314.5,325.7,53.4,49.4
"04-12-2014 17.00",2.5,959,0,83.5,1.4,80,-0.8,0,313.8,323.5,53.2,49.3
"04-12-2014 18.00",2.5,959,0,85,2.9,72,-0.8,0,312.3,323.8,53.4,49.3
"04-12-2014 19.00",2.3,959,0,87.2,3.4,73,-0.7,0,312,323.5,53.1,49.4
"04-12-2014 20.00",2.3,959,0,84.1,0.8,100,-0.7,0,311.7,322,53.5,49.3
"04-12-2014 21.00",2,959,0,85.3,0.9,93,-0.6,0,310.6,321,53.2,49.3
"04-12-2014 22.00",1.7,959,0,83.6,1.5,72,-2.7,0.2,273.8,316.8,53.3,49.2
"04-12-2014 23.00",0.8,960,0,91.2,1.9,57,-2.5,0.7,267.1,312.5,53.2,49.2
"05-12-2014 00.00",1.5,959,0,82.7,1.6,66,-1.2,0.1,288,315,53.3,49.1
"05-12-2014 01.00",1.5,959,0,81.9,1.3,73,-0.9,0,297.2,315.1,53.2,49.2
"05-12-2014 02.00",2.1,959,0,74.2,1.2,62,-0.2,0,309.9,317.4,53.2,49.2
"05-12-2014 03.00",2.5,959,0,72.8,0.8,131,-0.2,-0.4,317.2,319.2,53.3,49.2
"05-12-2014 04.00",1.7,959,0.1,82.3,1.4,141,-1.9,0.1,317.3,318.7,53.2,49.1
"05-12-2014 05.00",2.1,959,0,81.9,0.8,201,-0.5,0.1,321.7,320.9,53.2,49.1
"05-12-2014 06.00",1.6,959,0.1,91.2,1.5,293,-0.9,0.1,321.6,321.7,53.2,49.1
"05-12-2014 07.00",1.4,960,0.1,97.6,3.8,314,-0.1,0,321.2,322.4,53.3,49.2
"05-12-2014 08.00",1.2,960,0,96,5.9,329,-1.3,0.4,293.9,319.2,53.2,49.2
"05-12-2014 09.00",1.4,961,0,92.6,6.2,332,10.9,2.3,299,319.9,53.3,49.1
"05-12-2014 10.00",1.5,961,0,91.8,5.3,330,38.7,6,281.7,320.6,53.3,49.1
"05-12-2014 11.00",1.7,961.5,0,91.5,4.8,318,159.7,26.2,260.2,323.1,53.7,49
"05-12-2014 12.00",2.4,962,0,87.2,4.7,310,188.3,32.7,278.6,329.7,53.8,49
"05-12-2014 13.00",2.7,962,0,87,6,302,189.9,35.3,308.2,333.6,53.6,49.1
"05-12-2014 14.00",2,961.5,0,88.4,5.5,305,114,20.8,303.8,329.5,53.7,49
"05-12-2014 15.00",1.2,962,0,91.9,5.3,310,80.9,19.7,303.9,324.9,54,49
"05-12-2014 16.00",0.8,962.5,0,93.5,4.5,319,21,6.4,292.5,319.9,53.6,48.9
"05-12-2014 17.00",0.6,963,0,94.2,3.7,319,-0.3,0.1,309.5,318.5,53.3,48.9
"05-12-2014 18.00",0.5,964,0,95.4,3.5,324,-0.3,0,312.7,318.7,53.7,48.8
"05-12-2014 19.00",0.1,964.5,0,92.8,2.6,323,-1,0.1,296.4,315,53.8,48.7
"05-12-2014 20.00",0,965.5,0,90.8,2.9,344,-2.1,0.5,274.1,313.4,53.4,48.7
"05-12-2014 21.00",-0.4,966,0,89.8,2.3,353,-4.1,1.5,233.7,307.6,53.3,48.7
"05-12-2014 22.00",-0.9,966.5,0,91,1.9,355,-3.5,1.4,243.5,304.6,52.8,48.6
"05-12-2014 23.00",-1,967,0,89,2.4,186,-4.3,1.4,228.5,302.4,53.6,48.5
"06-12-2014 00.00",-1.2,968,0,89.1,1.9,9,-4.2,1.6,229.1,300,53,48.5
"06-12-2014 01.00",-0.9,968,0,88.3,1.5,17,-3.3,1.8,242.8,299.6,53.1,48.5
"06-12-2014 02.00",-0.8,968.5,0,89.8,1.6,37,-1.1,0.5,290.5,308.1,53.2,48.4
"06-12-2014 03.00",-0.9,969,0,92.1,2.1,28,-2,0.4,272.4,307.9,53,48.3
"06-12-2014 04.00",-1.3,969,0,88.7,2,40,-3.6,1,233.8,298.6,52.8,48.3
"06-12-2014 05.00",-0.6,969,0,87.3,1.6,40,-1.1,0.8,275.9,304.6,53.1,48.2
"06-12-2014 06.00",0.3,969,0,90.4,1.2,33,-1.7,0.4,275.3,308.3,52.7,48.1
"06-12-2014 07.00",-0.3,969,0.1,91.3,1.3,78,-1.8,0.3,271.1,304.4,52.7,48.2
"06-12-2014 08.00",1.2,969,0,85.1,1,105,0.5,0.3,310.6,314.5,52.9,48
"06-12-2014 09.00",2,969,0,80.2,1.1,165,7.3,1.4,318.8,317.5,52.8,48
"06-12-2014 10.00",1.4,968.5,0,83.8,3.5,172,19.7,2.5,319.4,318,52.9,48.1
"06-12-2014 11.00",1,968,0,93.9,3.8,190,25,3.6,319.7,318.7,52.9,48.1
"06-12-2014 12.00",1.4,968,0,97.2,3.9,198,28.8,4.3,321.8,321.3,52.8,48.1
"06-12-2014 13.00",1.7,967,0,97.5,4.3,197,18.4,2.7,322.8,322.8,53.3,48.2
"06-12-2014 14.00",2.1,966.5,0,98.3,4,197,19.5,3.1,324.1,325.1,52.9,48.1
"06-12-2014 15.00",3.1,965.5,0,98.5,4.7,190,8.3,1.3,328.3,329.1,53.1,48.1
"06-12-2014 16.00",3.7,965,0,97.9,4.8,187,1.6,0.4,331.2,331.6,53.2,48.1
"06-12-2014 17.00",4.4,964,0,98.3,5.6,196,0,0,335.9,335.7,52.8,48.1
"06-12-2014 18.00",4.8,963.5,0.2,98.7,5.7,197,0,0,338.3,338.1,53,48.1
