OB_TIME,SRC_ID,AIR_TEMPERATURE,Q10CM_SOIL_TEMP,Q30CM_SOIL_TEMP,RLTV_HUM,DEWPOINT,WETB_TEMP,WIND_SPEED,WIND_DIRECTION,MEAN_WIND_SPEED,MEAN_WIND_DIR,MAX_GUST_SPEED,MAX_GUST_DIR,MAX_GUST_CTIME,PRCP_AMT,GLBL_IRAD_AMT
"18/03/2015 07:00:00",61937,0.6,1.1,,94,-0.3,0.3,,,,,12,,612,,23
"18/03/2015 08:00:00",61937,1.9,1.1,,92.6,0.7,1.5,,,,,10,,724,,350
"18/03/2015 09:00:00",61937,2.8,1.1,,91.2,1.4,2.3,,,,,9,,759,,766
"18/03/2015 10:00:00",61937,4.1,1.2,,85.1,1.8,3.2,,,,,6,,916,,841
"18/03/2015 11:00:00",61937,5.3,2,,79.6,2.2,4,,,,,12,,1015,,1179
"18/03/2015 12:00:00",61937,5.9,3.4,,75.7,1.9,4.3,,,,,12,,1107,,903
"18/03/2015 13:00:00",61937,5.8,4.3,,74.1,1.5,4.1,,,,,13,,1201,,622
"18/03/2015 14:00:00",61937,5.8,4.6,,75.6,1.7,4.2,,,,,10,,1315,,476
"18/03/2015 15:00:00",61937,5.6,4.9,,75.3,1.5,4,,,,,9,,1442,,401
"18/03/2015 16:00:00",61937,5.8,4.9,,75.6,1.8,4.2,,,,,10,,1532,,248
"18/03/2015 17:00:00",61937,5.8,4.9,,75.6,1.7,4.2,,,,,9,,1639,,199
"18/03/2015 18:00:00",61937,5.3,4.8,,79.6,2,4,,,,,8,,1731,,105
"18/03/2015 19:00:00",61937,5.2,4.5,,82.6,2.4,4.1,,,,,9,,1751,,12
"18/03/2015 20:00:00",61937,4.2,4.2,,85.1,1.9,3.3,,,,,8,,1904,,0
"18/03/2015 21:00:00",61937,4.7,3.7,,83.8,2.3,3.7,,,,,6,,1958,,0
"18/03/2015 22:00:00",61937,4,3.6,,86.7,1.9,3.2,,,,,6,,2110,,0
"18/03/2015 23:00:00",61937,3.5,3.1,,86.4,1.5,2.7,,,,,9,,2243,,0
"19/03/2015",61937,3.6,2.5,,81.3,0.6,2.5,,,,,7,,2252,,0
"19/03/2015 01:00:00",61937,2.6,2.1,,84,0.2,1.7,,,,,3,,2351,,0
"19/03/2015 01:00:00",61937,2.6,,4.5,84,0.2,1.7,,,,,3,,2351,,0
"19/03/2015 02:00:00",61937,3.3,1.8,,77.8,-0.2,2,,,,,6,,136,,0
"19/03/2015 03:00:00",61937,3.2,1.5,,77.6,-0.2,1.9,,,,,5,,214,,0
"19/03/2015 04:00:00",61937,2.6,1.4,,76.9,-0.9,1.3,,,,,7,,335,,0
"19/03/2015 05:00:00",61937,2.8,1.2,,79,-0.5,1.6,,,,,3,,448,,0
"19/03/2015 06:00:00",61937,1.8,1.2,,81.5,-1,0.8,,,,,6,,455,,0
"19/03/2015 07:00:00",61937,3.2,1.1,,77.6,-0.4,1.9,,,,,6,,615,,31
"19/03/2015 08:00:00",61937,3.8,1.1,,78.2,0.4,2.5,,,,,6,,747,,358
"19/03/2015 09:00:00",61937,5.5,1.1,,73.8,1.2,3.8,,,,,7,,750,,895
"19/03/2015 10:00:00",61937,6.8,1.6,,66.7,1,4.5,,,,,8,,946,0,1387
"19/03/2015 11:00:00",61937,7.4,3.4,,64.7,1.3,4.9,,,,,7,,951,0,1843
"19/03/2015 12:00:00",61937,8.8,5.2,,62.8,2,6,,,,,10,,1131,0,1640
"19/03/2015 13:00:00",61937,8.4,6.8,,63.5,1.9,5.7,,,,,8,,1200,0,1764
"19/03/2015 14:00:00",61937,9.8,7.9,,58.1,2.1,6.5,,,,,7,,1320,0,1572
"19/03/2015 15:00:00",61937,9.9,8.5,,58.3,2,6.6,,,,,7,,1409,0,1926
"19/03/2015 16:00:00",61937,9.1,8.7,,67,3.3,6.6,,,,,10,,1549,0,1426
"19/03/2015 17:00:00",61937,6.8,8.3,,75.2,2.6,5.1,,,,,13,,1616,0,460
"19/03/2015 18:00:00",61937,6.3,7.2,,74.6,2.1,4.6,,,,,13,,1742,0,129
"19/03/2015 19:00:00",61937,5.7,6.3,,75.4,1.8,4.1,,,,,13,,1848,0,6
"19/03/2015 20:00:00",61937,6,5.7,,72.8,1.6,4.2,,,,,12,,1851,0,0
"19/03/2015 21:00:00",61937,5.3,5.3,,78.1,1.7,3.9,,,,,8,,1954,0,0
