"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"19-10-2014 14.00",16.3,1005,0,85.9,6.8,247,449.7,55.4,324.7,406.4,60.3,64.1
"19-10-2014 15.00",15.9,1005,0,86.8,6.8,252,362.7,46,327.6,402.4,60.3,64.1
"19-10-2014 16.00",15.3,1005,0,88.4,6.5,253,223.6,29.7,320.7,394.9,60.1,63.9
"19-10-2014 17.00",14.5,1005,0,90.2,6.3,260,76.5,10.8,320.5,386.6,60.2,64.1
"19-10-2014 18.00",14.1,1006,0,90.9,5.4,263,2.1,0.7,350.8,383.6,60.1,64.1
"19-10-2014 19.00",13.9,1007,0,91.1,5.1,259,-1.6,0.4,352.2,382.1,60.1,64.3
"19-10-2014 20.00",13.9,1007,0,91,5.5,255,-1.2,0.2,363.4,382.4,52.5,64.1
"19-10-2014 21.00",13.6,1008,0,91.6,5.5,263,-2.6,0.4,328,379,48.7,64.1
"19-10-2014 22.00",13.2,1008,0,92.4,5.3,269,-3,0.9,312.7,375.9,45.8,64.1
"19-10-2014 23.00",13.2,1008,0,92.3,5.2,270,-2.4,0.7,324.5,376.3,44.4,64.1
"20-10-2014 00.00",13.1,1008,0,92.6,5.3,272,-2.5,0.7,320.5,375.4,42.8,64.3
"20-10-2014 01.00",13,1008,0,93.1,4.8,275,-2.3,0.8,324.8,374.8,40.9,49.1
"20-10-2014 02.00",12.8,1008,0,92.2,4.6,267,-2.6,0.6,323.2,374,40.3,42.5
"20-10-2014 03.00",12.9,1008,0,92.9,4.6,270,-2.1,0.6,331.1,374.6,39.9,40.9
"20-10-2014 04.00",12.9,1008,0.4,92.8,4,272,-1.7,0.9,354.8,375.5,39.6,39.9
"20-10-2014 05.00",12.8,1008,0,92.3,4.2,269,-2.6,1.2,362.3,375.1,40,39.5
"20-10-2014 06.00",12.5,1008,0,92.4,3.7,267,-2.5,1.2,352.7,372.4,40,39.4
"20-10-2014 07.00",12.9,1008,0,92.4,3.6,256,-0.5,0.7,362.6,375.2,39.9,39.3
"20-10-2014 08.00",13.2,1008,0,91.5,4,254,30.6,4.1,367.4,377.9,39.7,39
"20-10-2014 09.00",13.9,1008,0,87.9,4.6,250,139.4,18.4,353.1,383.3,39.5,38.9
"20-10-2014 10.00",14.4,1008,0,87,5.4,250,214.3,26.5,360.7,391.3,39.4,38.8
"20-10-2014 11.00",14.4,1008,0,80.1,5.8,248,219.7,26.2,356.8,390.4,39.4,38.6
"20-10-2014 12.00",14.6,1007.5,0,81.2,5.7,253,339.8,41.6,335.4,395.2,39.1,38.5
"20-10-2014 13.00",14.2,1007,0,85.1,5.6,251,227.5,27,356.3,392.5,39,38.5
"20-10-2014 14.00",14.4,1006.5,0,83.8,5.9,257,256.4,30.7,349.5,393.7,38.6,38.4
"20-10-2014 15.00",14,1006,0,88.4,5.4,257,116.3,13.9,369.9,389.7,38.6,38.4
"20-10-2014 16.00",13.5,1005.5,0,86.5,5.2,257,60.1,7.9,369.7,383.5,38.5,38.1
"20-10-2014 17.00",13.6,1005,0,85.8,5.1,257,28.9,3.7,368.1,382.5,38.2,38.3
"20-10-2014 18.00",13.4,1005,0,86.1,5,262,0.1,0.5,369.2,379.9,38,38
"20-10-2014 19.00",13.5,1005,0,87.6,4.7,252,-0.7,0.1,369.3,380.2,37.8,38
"20-10-2014 20.00",13.6,1004,0,86,5.7,250,-0.9,0,366.1,379.7,37.8,37.9
"20-10-2014 21.00",13.6,1003.5,0,84.3,5.9,250,-0.7,0,370.6,379.5,37.7,37.8
"20-10-2014 22.00",13.6,1003,0,82.5,6.7,246,-1.1,0,370.3,378.9,37.4,37.8
"20-10-2014 23.00",13.6,1002,0,83.9,7.6,245,-0.6,0,371,379.3,37.4,37.6
"21-10-2014 00.00",13.6,1001,0,85.4,7.9,246,-1,0,373.3,379.7,37.4,37.7
"21-10-2014 01.00",13.7,1000.5,0,87.9,7.6,248,-0.7,-0.1,374.2,380.6,37.3,37.7
"21-10-2014 02.00",13.5,999,0.1,93.3,9.4,253,-1.2,0.1,378,380.7,37.4,37.6
"21-10-2014 03.00",13.6,998.5,0,95.3,9.1,253,-0.8,0.3,379,381.7,37.4,37.7
"21-10-2014 04.00",13.9,997,0.1,95.3,10,258,-0.9,0.1,381,383.2,37.5,37.7
"21-10-2014 05.00",13.7,997,0.5,95.1,9.8,278,-0.5,0.2,377,382.6,37.7,37.7
"21-10-2014 06.00",13.2,997.5,0.1,86.9,9.6,297,-0.6,0.3,356.7,376.9,38.1,37.6
"21-10-2014 07.00",12.7,999,0,76.7,9.7,308,0,0.4,344,371.9,37.9,37.7
"21-10-2014 08.00",12.1,1000.5,0,65.9,9.3,308,59.6,9.9,298.2,365.3,37.7,37.6
"21-10-2014 09.00",12.4,1002.5,0,64.3,8.8,311,195.4,30.1,302,370.2,37.4,37.6
"21-10-2014 10.00",12.7,1004,0,62.5,8.6,316,258.7,35.7,323.6,375.4,37.2,37.3
"21-10-2014 11.00",13.4,1005,0,59.4,8.8,316,399.6,54.1,316.6,382.2,36.6,37.2
"21-10-2014 12.00",13.4,1006,0,56.6,10.2,318,468.6,62.4,303,383.4,36.2,37
"21-10-2014 13.00",13.4,1007,0,57.6,9.5,318,406.9,53.8,319,384.7,35.8,36.8
"21-10-2014 14.00",13.1,1008,0,57.6,9.8,319,340.9,45.3,316.9,380.2,35.4,36.7
"21-10-2014 15.00",13,1009,0,58.7,9.2,320,326.3,45.6,311.7,379.5,35.1,36.5
"21-10-2014 16.00",12.4,1010,0,60.7,8.6,325,179.8,25.8,309.8,372.8,34.7,36.3
"21-10-2014 17.00",12,1011,0,64.1,7.8,320,74.4,11.6,302.2,367.2,34.4,36.1
"21-10-2014 18.00",11.4,1012.5,0,65.7,6.2,319,-0.2,0.8,306.1,361.8,34.2,35.9
"21-10-2014 19.00",11.2,1013,0,64.4,6.5,322,-2.8,0.6,302,359.8,33.9,35.7
"21-10-2014 20.00",11.1,1014,0,65.8,5.5,318,-3.1,0.6,299.5,358.6,33.5,35.5
"21-10-2014 21.00",11,1015,0,65.3,5.9,322,-3.6,0.6,288.9,357.1,33.5,35.4
"21-10-2014 22.00",10.7,1016,0,70.1,4.5,317,-2.4,0.7,315,357.9,33.3,35.2
"21-10-2014 23.00",10.7,1016.5,0,69.2,4.4,327,-1.9,0.5,325.2,358.8,33.1,35.1
"22-10-2014 00.00",10.7,1017.5,0,69.4,4.4,319,-3.2,0.5,301.7,357.4,33,35
"22-10-2014 01.00",10,1018,0,71,2.6,311,-2.2,0.6,320.6,355.2,32.8,35
"22-10-2014 02.00",10.5,1018,0,70.4,3,318,-1.2,0.6,337.1,359.1,32.9,34.9
"22-10-2014 03.00",10.7,1018,0,69.7,3.3,301,-1.8,0.5,327.3,359,32.8,34.9
"22-10-2014 04.00",10.9,1018,0,70.4,3,312,-1.7,0.1,337.6,360.8,32.7,34.9
"22-10-2014 05.00",10.6,1018,0,74.4,1.8,303,-1.2,0.5,339.1,360,32.7,34.8
"22-10-2014 06.00",9.8,1018,0,78.2,1.8,298,-2,0.8,322.6,355.2,32.6,34.8
"22-10-2014 07.00",10.9,1018,0,74.9,3.2,291,-1,0.9,317.1,359.1,32.6,34.8
"22-10-2014 08.00",10.9,1018,0,77.2,2.9,296,18.6,3.4,328,360.8,32.6,34.8
"22-10-2014 09.00",11.8,1018,0,73.6,4.3,300,77.9,10.2,317.2,366.7,32.6,34.9
"22-10-2014 10.00",12.9,1018,0,69.2,4.6,294,182.2,24.1,341,377.7,32.5,34.7
"22-10-2014 11.00",13.6,1018,0,65.6,6,291,244.1,31.8,339.2,384.2,32.4,34.8
"22-10-2014 12.00",13.4,1018,0,70.2,6,285,207.5,26.5,356.2,384.2,32.4,34.7
"22-10-2014 13.00",13.6,1017,0,69,6.3,283,262.7,34,354.4,388.4,32.4,34.6
"22-10-2014 14.00",13.7,1017,0,70.1,6,279,240.3,31.8,359.3,389.1,32.5,34.6
"22-10-2014 15.00",13.4,1016,0,69.1,5.4,277,151.9,20,357.5,384.4,32.5,34.7
"22-10-2014 16.00",13.1,1016,0,70.9,5.3,273,67.2,8.6,364.8,379.4,32.4,34.5
"22-10-2014 17.00",12.8,1016,0,73.2,4.6,265,23.3,3,363.9,375.6,32.4,34.7
"22-10-2014 18.00",12.7,1015,0,73.4,4.9,264,1.1,0.2,364.6,373.6,32.3,34.5
"22-10-2014 19.00",12.7,1015,0,72.6,5.1,263,-0.7,0,364.9,373.1,32.3,34.6
"22-10-2014 20.00",12.9,1015,0,75.3,4.9,257,-0.7,0,366,373.9,32.3,34.5
"22-10-2014 21.00",12.9,1014,0,74.7,5.2,260,-0.7,-0.1,366.3,374.1,32.3,34.4
"22-10-2014 22.00",13,1014,0,76.3,4.7,254,-0.8,-0.1,365.8,374.3,32.2,34.5
"22-10-2014 23.00",13,1013,0,81.9,4.1,245,-0.8,-0.1,366.5,375.2,32.3,34.5
"23-10-2014 00.00",13.1,1013,0,83,4.5,242,-0.7,0,368.2,376.1,32.3,34.5
"23-10-2014 01.00",13,1012,0,84.4,4.7,246,-1.2,0.1,369.3,376.1,32.3,34.4
"23-10-2014 02.00",13,1012,0,86.8,4.3,242,-0.8,-0.1,368.9,376.5,32.3,34.4
"23-10-2014 03.00",12.9,1011,0,90.5,4,237,-0.8,0,366.2,376.3,32.3,34.5
"23-10-2014 04.00",13.1,1011,0,89.2,3.8,231,-1.2,0.3,370.7,377.3,32.3,34.5
"23-10-2014 05.00",13.1,1010,0,93.6,4.5,230,-1.4,0.4,375.4,378.4,32.1,34.4
"23-10-2014 06.00",13,1010,0,97,4.5,232,-0.7,0.3,377.4,378.9,32.2,34.4
"23-10-2014 07.00",13.2,1010,0.3,98.2,4.6,231,-0.3,0.2,380.2,380.2,32.3,34.5
"23-10-2014 08.00",13.4,1010,0.1,99.1,4.8,233,11.4,1.3,382.3,382.2,32.2,34.4
"23-10-2014 09.00",13.8,1009,0,99.1,5,235,43.8,4.9,384.4,385,32.4,34.5
"23-10-2014 10.00",14.1,1009,0.3,99.1,5.4,245,79.4,8.5,386.5,387.8,32.3,34.7
"23-10-2014 11.00",14.4,1009,0.2,98.9,5.2,245,122.9,13.1,389,391.4,32.5,34.7
"23-10-2014 12.00",14.6,1009,0,98.9,5.3,243,271.7,31,390,397,32.5,34.5
"23-10-2014 13.00",14.7,1008.5,0,98.1,5.6,242,193.7,22.4,390.6,397.2,32.7,34.5
"23-10-2014 14.00",14.3,1008,0.1,99.1,5.4,249,114.5,12.2,388.2,392,32.6,34.6
"23-10-2014 15.00",14,1008,0,97.4,5.2,259,126.4,13.8,385.9,390.9,32.7,34.8
"23-10-2014 16.00",14,1007,0,95.5,5.1,250,76.2,8.8,384.2,388.4,32.8,34.9
"23-10-2014 17.00",13.7,1007,0,96.7,4.2,246,12.4,1.6,382.6,384.6,32.8,34.9
"23-10-2014 18.00",13.7,1007,0,97.7,4.8,246,0.1,0.3,383,384,32.7,34.8
"23-10-2014 19.00",13.8,1007,0,97.8,4.4,248,-0.8,0.4,383.4,384.1,32.7,34.8
"23-10-2014 20.00",13.9,1007,0.2,98.2,4.8,250,-0.7,0.4,384.4,384.5,32.7,34.8
"23-10-2014 21.00",13.9,1007,0.1,98.6,5.4,257,-0.6,0.3,384.8,384.7,32.7,34.8
"23-10-2014 22.00",13.9,1007,0,98.9,4.9,247,-0.5,0.3,384.9,384.8,32.8,34.9
"23-10-2014 23.00",13.9,1006.5,0.2,99,5,251,-0.5,0.2,384.9,384.7,33,35
"24-10-2014 00.00",13.8,1006,0,99.1,4.1,255,-0.4,0.2,384.6,384.4,33.2,34.9
"24-10-2014 01.00",13.8,1006,0.2,99.2,3.3,248,-0.5,0.2,384.4,384.1,33.3,35
"24-10-2014 02.00",13.8,1005.5,0,99.5,2.9,239,-0.4,0.1,384.7,384.4,33.4,35
"24-10-2014 03.00",13.9,1005,0.6,99.7,3.2,237,-0.3,0.1,385,384.7,33.8,35.1
"24-10-2014 04.00",13.9,1004,0,99.9,3.1,235,-0.3,0.1,385.3,384.9,34.1,35.1
"24-10-2014 05.00",13.9,1004,0,100,3.1,237,-0.2,0.1,385.3,385,34.3,35.2
"24-10-2014 06.00",13.8,1004,0,100,2.8,244,-0.3,0.1,384.8,384.6,34.4,35.2
"24-10-2014 07.00",13.8,1003.5,0,100,2.6,246,0.1,0.1,384.7,384.4,34.4,35.3
"24-10-2014 08.00",13.8,1004,0,100,3.1,241,11.3,1.3,384.7,384.7,34.4,35.3
"24-10-2014 09.00",13.9,1004,0.1,99.8,3.1,238,44.4,4.7,385.9,386.7,34.5,35.3
"24-10-2014 10.00",14.1,1004,0,99.6,3.4,242,69,7.2,387.2,389.2,34.5,35.4
"24-10-2014 11.00",14.1,1004,0,99.4,3.6,242,71.5,7.5,387.4,389.6,34.5,35.4
"24-10-2014 12.00",14.2,1004,1,99.5,4,245,88.4,8.9,388.1,390.8,34.6,35.5
"24-10-2014 13.00",14.2,1004,0.7,99.6,4.4,273,104.7,10.2,388,390.7,35.9,43.3
"24-10-2014 14.00",13.2,1004,0,97.3,4.8,323,178.5,18.6,383.7,389.7,37.9,57.5
"24-10-2014 15.00",13.5,1004,0,88.7,3.8,299,219.5,25.4,384,390.4,39.1,57
"24-10-2014 16.00",13.7,1004,0,84,4.7,297,194.2,26.1,380.1,385.5,39.5,54.1
"24-10-2014 17.00",12.8,1004.5,0,82.4,4,300,57.4,8.6,368.1,376.4,39.5,50.7
"24-10-2014 18.00",11.1,1005,0,87.4,2.5,307,-0.7,1.7,352.9,365.3,39.2,45.4
"24-10-2014 19.00",9.8,1005.5,0,93.7,1.5,306,-3.8,2,344.8,357.6,38.7,41.1
"24-10-2014 20.00",9.6,1006,0,92.9,1.7,310,-3.2,2,345.8,356.7,38.1,38.9
"24-10-2014 21.00",10.6,1006,0,89.4,1.5,302,-0.1,1.3,362.9,365,37.8,37.8
"24-10-2014 22.00",11.4,1006,0,78.6,2.2,296,-0.1,1.1,365.9,366.6,37.5,37.4
"24-10-2014 23.00",11.4,1007,0,82.9,1.9,302,-1.1,0.5,365.9,368.1,37.3,37.2
"25-10-2014 00.00",11.5,1007,0,82.6,2.2,307,-0.4,0.9,363.5,368,37.1,37
"25-10-2014 01.00",11.5,1007,0,77.7,2.2,286,-0.6,0.4,364.6,367.8,36.8,36.8
"25-10-2014 02.00",11.8,1007,0,73.3,2.7,279,-0.4,0.5,363.8,367.8,36.7,36.8
"25-10-2014 03.00",11.8,1007,0,69.4,3.2,277,-0.5,0.3,363.1,366.9,36.5,36.7
"25-10-2014 04.00",11.8,1007,0,70.9,2.7,269,-0.6,0.2,361.7,367.2,36.4,36.7
"25-10-2014 05.00",12,1007,0,71.9,3.1,264,-0.6,0.1,360.8,368.1,36.2,36.6
"25-10-2014 06.00",11.9,1007,0,75.8,4.1,275,-0.7,0,359.4,368.5,36,36.5
"25-10-2014 07.00",11.6,1007,0,79.1,3.6,278,-0.5,0.1,357.7,368,35.8,36.4
"25-10-2014 08.00",11.4,1008,0,84.6,3.4,275,13.8,2.7,360.1,368.7,35.5,36.3
"25-10-2014 09.00",12.1,1008,0,80.6,3.6,269,62.2,7.5,359.5,373.5,35.5,36.3
"25-10-2014 10.00",12.1,1008.5,0,86.2,2.8,261,66.5,8.3,362.3,375.7,35.3,36.3
"25-10-2014 11.00",13,1009,0,78.4,4,268,88.2,10.2,363.9,379,35.2,36.1
"25-10-2014 12.00",13.3,1009,0,76.4,4.4,264,136.7,16.1,365.2,382.9,35,36.1
"25-10-2014 13.00",13.4,1009,0,79,5,262,197.9,24.2,363.7,386.2,34.8,36
"25-10-2014 14.00",13.7,1009,0,75.4,4.7,253,187.4,23,363.9,388.1,34.8,36
"25-10-2014 15.00",13.3,1009,0,80.7,4.4,243,151.3,18.9,360.2,386,34.7,36
"25-10-2014 16.00",13.1,1009,0,83.9,4.8,236,94.2,11.7,358.3,382.5,34.5,35.9
"25-10-2014 17.00",12.8,1009,0,85.2,4.1,243,23,2.9,363.3,378.3,34.4,35.7
"25-10-2014 18.00",12.8,1010,0,84.8,3.9,243,-0.1,0.2,364,376,34.3,35.9
"25-10-2014 19.00",12.8,1010,0,79.9,3.8,241,-1,0,360.9,374.7,34.2,35.9
"25-10-2014 20.00",12.9,1010,0,76.4,3.8,242,-0.8,0,364,374.3,34.1,35.7
"25-10-2014 21.00",13,1010.5,0,73.4,3.7,248,-0.7,-0.1,366.7,374.1,33.9,35.6
"25-10-2014 22.00",12.9,1011,0,72.1,4,242,-0.8,-0.1,365.6,373.4,33.7,35.6
"25-10-2014 23.00",12.8,1011,0,73.1,3.7,237,-0.7,-0.1,366,373,33.7,35.6
"26-10-2014 00.00",12.9,1011,0,75.6,3.9,239,-0.7,-0.1,366.9,373.7,33.5,35.5
"26-10-2014 01.00",12.9,1011,0,75.4,3.7,237,-0.8,-0.2,367,373.7,33.5,35.5
"26-10-2014 02.00",12.9,1010.5,0,75.7,3.6,230,-0.7,-0.1,366.7,373.6,33.5,35.5
"26-10-2014 03.00",12.9,1010,0,77.9,4,230,-0.7,-0.1,367.9,374.2,33.4,35.4
"26-10-2014 04.00",12.9,1010,0,74.9,4.7,242,-0.7,-0.1,366.2,373.6,33.4,35.3
"26-10-2014 05.00",12.8,1010,0,76.2,3.8,248,-0.7,-0.1,365.9,373.4,33.4,35.3
"26-10-2014 06.00",12.8,1009.5,0,74.4,4.5,247,-0.9,-0.1,362.7,372.7,33.3,35.3
"26-10-2014 07.00",12.8,1009.5,0,71.2,4.4,240,-0.6,-0.1,364.3,372.2,33.2,35.2
"26-10-2014 08.00",13.1,1010,0,75,4,236,10.4,1.4,366.8,374.4,33.3,35.2
"26-10-2014 09.00",13.6,1010,0,76,4.1,244,65.2,8.4,367.6,379.8,33.1,35.2
"26-10-2014 10.00",14.1,1010,0,75.2,4.3,244,127.3,16.6,365,385,33.1,35.3
"26-10-2014 11.00",14.9,1010,0,69.4,4.6,217,253,33.4,367.1,394.9,33.1,35.1
"26-10-2014 12.00",14.9,1010,0,70.4,4.8,213,233.5,30.1,372,396.7,33.1,35.1
"26-10-2014 13.00",14.6,1010,0,76.9,5.7,213,224.5,29.3,372.9,395.4,33,35.1
"26-10-2014 14.00",14.6,1010,0,80.5,5.5,213,266.7,35.4,369.5,397.6,32.9,35.1
"26-10-2014 15.00",14.2,1010,0,81.9,4.9,204,132.5,17.1,375.8,392.6,32.9,35.1
"26-10-2014 16.00",14,1009,0,83,5,199,77.7,10,375.3,387.8,32.8,35
"26-10-2014 17.00",13.8,1009,0,87.8,4.5,195,22.5,2.9,376.4,384.5,32.7,35.1
"26-10-2014 18.00",13.6,1009,0,89.4,4.3,190,0.5,0.2,375.6,382,32.8,35.1
"26-10-2014 19.00",14,1009,0,92.9,4.8,196,-0.4,0.1,378.7,383.8,32.8,34.9
"26-10-2014 20.00",14.4,1009.5,0,96,4.7,197,-0.3,0.1,383.1,386.1,32.7,35
"26-10-2014 21.00",14.4,1009,0,96.9,4.6,197,-0.4,0,382.2,386.5,32.7,34.9
"26-10-2014 22.00",14.4,1009,0,97.1,4.7,193,-0.3,-0.1,385.7,386.7,32.7,34.9
"26-10-2014 23.00",14.1,1009,0,97.6,4.8,185,-0.2,0,384.6,385.9,32.7,34.9
