site-id,LIZRD
site-name,The Lizard
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation (1 day),Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-07-01,49.4561,0.1,10.4,85.6,14.1,11.1,16.8,1009.2,16.9,291.3,4.9,1.64532,15.3,51.8,15.1,54.2
2017-07-02,44.2092,0.0,10.6,82.2,15.2,12.7,17.9,1012.4,20.5,287.5,4.1,2.06148,17.4,34.2,17.6,36.5
2017-07-03,48.75072,0.1,11.9,92.4,15.1,13.4,18.1,1011.6,11.3,257.0,3.9,0.94305,17.5,32.7,17.6,36.0
2017-07-04,44.43426,0.3,11.5,83.9,16.2,12.2,19.9,1009.1,14.7,218.8,2.1,1.57146,18.6,32.3,18.9,35.9
2017-07-05,42.45648,0.0,10.6,74.0,17.1,11.7,21.7,1006.3,19.5,65.5,3.7,3.025,18.9,31.7,19.2,35.6
2017-07-06,41.87462,0.0,11.3,76.1,17.8,12.6,22.9,1004.4,18.1,257.3,3.1,2.79493,19.7,31.2,20.0,35.4
2017-07-07,43.89895,0.2,11.8,83.5,16.8,12.0,20.1,1007.8,19.2,270.3,2.9,1.96971,20.1,30.8,20.4,34.9
2017-07-08,41.31312,0.1,12.5,85.6,17.3,15.0,20.4,1007.9,14.7,243.2,2.1,1.53637,20.6,30.4,20.9,34.6
2017-07-09,45.12999,0.2,12.0,84.2,16.8,12.6,20.4,1002.6,11.6,285.9,3.1,1.68297,20.4,30.1,20.6,34.4
2017-07-10,42.16079,0.6,11.1,83.0,15.7,13.7,17.9,1000.7,13.5,275.9,4.2,1.9251,19.3,29.9,19.5,34.1
2017-07-11,46.67458,12.7,12.1,94.8,14.9,13.6,16.4,996.4,4.0,227.9,4.6,0.57737,18.0,49.7,18.1,53.3
2017-07-12,45.07663,0.2,11.7,83.8,16.5,12.8,21.0,1005.2,13.6,197.2,3.4,1.81979,18.5,44.4,18.4,48.6
2017-07-13,47.18553,0.4,11.5,86.1,15.8,12.7,19.2,1010.6,14.3,212.6,2.9,1.52307,18.8,32.1,19.0,35.5
2017-07-14,42.0875,0.0,9.6,73.0,15.5,14.1,18.1,1012.4,15.0,301.8,4.6,2.90349,18.5,31.4,18.6,35.2
2017-07-15,46.44257,0.4,11.8,87.4,15.8,13.6,18.8,1012.8,10.0,261.2,4.5,1.43284,18.3,31.0,18.5,35.0
2017-07-16,45.62482,0.4,13.4,91.8,17.2,14.8,20.4,1013.8,12.1,277.4,3.5,1.08712,18.9,30.8,19.0,34.8
2017-07-17,39.55099,0.1,10.7,74.7,17.0,13.8,20.3,1010.9,14.1,68.0,3.8,2.82666,19.0,30.5,19.2,34.6
2017-07-18,44.55239,0.1,12.8,82.5,18.2,16.1,21.2,999.6,13.1,81.3,6.5,2.45517,18.8,30.2,19.0,34.4
2017-07-19,45.22547,6.2,13.3,92.6,16.9,13.7,19.7,993.3,7.5,215.8,4.5,0.93814,18.8,34.9,19.0,38.2
2017-07-20,47.56364,2.9,9.6,76.4,14.9,11.7,17.5,998.8,16.5,258.1,5.5,2.68608,18.1,33.9,18.2,35.6
2017-07-21,54.83549,24.9,10.6,85.4,14.5,12.1,16.3,991.8,7.5,231.1,5.0,1.51011,17.3,50.2,17.4,51.4
2017-07-22,51.24727,9.2,10.0,85.7,13.5,11.0,16.7,994.7,11.8,250.5,4.4,1.43357,16.6,60.2,16.6,61.5
2017-07-23,51.15664,0.4,10.8,83.6,15.2,11.2,18.5,1003.1,16.8,283.3,3.6,1.83066,17.2,50.9,16.9,52.5
2017-07-24,47.02498,0.4,11.8,83.2,16.9,13.3,21.0,1007.7,17.8,310.1,4.0,2.13243,18.0,33.9,18.1,36.4
2017-07-25,43.75304,2.0,12.5,90.6,16.2,13.1,18.9,1005.4,9.5,260.5,2.8,1.02244,18.3,32.8,18.5,36.1
2017-07-26,52.60725,5.9,12.2,91.0,15.8,14.2,17.1,997.8,7.8,261.9,5.6,1.08103,18.0,60.2,18.1,61.0
2017-07-27,51.0863,0.3,11.0,81.9,15.8,13.3,18.2,997.5,18.0,253.9,5.6,2.27333,17.7,49.5,17.9,49.7
2017-07-28,51.22804,2.3,12.2,91.9,15.5,14.2,16.6,997.5,5.0,236.3,6.0,0.94634,17.2,34.9,17.4,36.8
2017-07-29,54.87977,27.2,10.8,92.3,13.6,12.1,14.5,996.3,3.6,204.8,2.5,0.60543,16.3,52.7,16.4,53.6
2017-07-30,55.55275,0.4,10.8,84.5,15.0,11.6,17.7,996.5,18.3,250.8,4.5,1.83893,16.6,63.4,17.0,65.4
2017-07-31,52.05477,0.3,10.7,83.3,15.2,12.8,17.9,1000.5,14.4,237.0,3.8,1.81891,17.2,50.7,17.5,51.3
