timestamp,2017-12-04 14:35:22
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,40.3
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-11-01,51.4166,0.2,8.3,86.4,10.3,7.2,12.6,1006.1,1.0,132.6,2.2,0.67449,10.5,38.4,10.4,39.3
2017-11-02,53.60372,0.2,8.2,88.4,9.8,6.8,12.9,1004.7,0.7,76.7,1.9,0.51574,10.4,37.4,10.4,38.6
2017-11-03,53.66305,0.1,10.4,94.2,12.5,8.0,14.4,1000.0,2.1,111.5,2.8,0.38726,11.4,37.0,11.4,38.5
2017-11-04,53.77056,0.3,7.7,79.1,10.3,7.1,12.4,997.8,2.8,310.2,4.9,1.47776,11.5,36.6,11.5,38.3
2017-11-05,47.73274,0.4,5.9,71.6,7.9,5.5,10.7,1008.6,1.6,316.5,4.8,1.76059,9.4,35.7,9.4,37.6
2017-11-06,52.08962,0.6,7.8,85.2,9.5,5.5,12.1,1012.7,1.2,215.4,3.3,0.79765,8.7,35.5,8.7,37.6
2017-11-07,56.57299,9.1,7.5,82.1,9.2,4.4,12.2,1006.5,0.7,277.2,5.0,1.11249,10.1,52.4,10.0,52.6
2017-11-08,55.81069,1.0,6.2,79.1,7.3,4.0,10.4,1014.1,4.5,294.5,2.0,0.91989,8.3,61.4,8.2,61.0
