timestamp,2019-03-01 13:30:07
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,58.5
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-02-01,55.74083,2.2,4.7,81.1,2.5,0.3,3.9,978.2,1.9,31.4,6.4,0.89644,3.8,66.7,3.7,68.0
2019-02-02,55.61369,4.8,4.7,77.9,3.4,1.3,6.3,1001.0,1.5,324.0,3.7,1.01257,3.5,66.8,3.2,68.0
2019-02-03,50.85218,3.7,6.3,83.9,6.5,2.2,9.3,1010.9,1.5,228.4,3.8,0.85523,3.7,66.8,3.6,68.0
2019-02-04,54.82433,9.7,8.4,97.0,8.8,5.2,11.5,1005.8,2.2,219.6,4.0,0.17828,7.1,66.3,7.0,67.7
2019-02-05,58.59884,10.7,9.3,99.5,9.9,8.0,11.0,1008.5,1.4,202.8,4.9,0.02586,7.8,66.1,7.8,67.7
2019-02-06,48.82494,1.9,7.8,92.5,8.4,6.2,10.2,1003.1,2.0,221.1,4.9,0.42411,7.9,66.2,8.0,67.6
2019-02-07,58.14466,5.6,7.2,87.9,7.9,5.3,9.4,998.5,1.8,259.3,7.7,0.92478,7.3,66.3,7.3,67.7
2019-02-08,57.58353,3.8,8.2,89.9,9.5,6.9,10.9,987.4,0.5,237.3,9.7,0.72476,8.4,66.1,8.3,67.6
2019-02-09,54.0683,7.3,7.2,86.6,8.2,6.1,10.3,991.6,1.2,247.4,6.9,1.0526,7.5,66.3,7.6,67.6
2019-02-10,56.99512,7.2,6.1,82.5,6.5,4.2,8.2,992.7,3.0,291.7,7.1,1.11124,7.1,66.3,7.0,67.7
2019-02-11,50.55235,0.0,7.0,84.4,8.1,5.8,10.4,1015.1,1.5,285.7,3.9,0.91868,7.0,66.4,7.0,67.7
2019-02-12,48.61382,0.0,7.8,90.9,8.7,5.3,10.8,1021.0,2.0,200.1,3.2,0.49495,7.1,66.3,7.1,67.8
2019-02-13,46.36243,0.0,7.8,90.8,8.6,6.2,10.5,1019.0,1.1,177.6,4.1,0.64017,8.0,66.2,8.0,67.4
2019-02-14,45.43412,0.0,7.2,92.9,7.1,5.0,10.0,1016.5,2.0,127.5,3.4,0.46277,7.0,61.9,6.9,50.8
2019-02-15,48.41117,0.2,8.8,96.8,9.6,7.1,11.7,1012.2,3.0,169.3,4.3,0.24449,7.2,46.8,7.2,41.9
2019-02-16,48.27184,0.0,9.5,99.1,10.3,8.9,10.9,1008.2,0.5,189.5,5.1,0.04876,8.9,46.4,9.0,40.7
2019-02-17,50.43089,0.1,8.7,92.1,10.1,9.2,11.8,1000.8,2.0,198.7,6.2,0.65738,9.0,45.4,9.0,40.3
2019-02-18,48.57216,0.0,7.3,84.6,8.6,6.5,10.8,1003.9,2.5,253.7,4.0,1.01994,8.6,36.9,8.6,37.8
2019-02-19,49.47237,0.0,6.9,82.2,8.2,5.8,10.3,1006.6,1.5,218.9,4.4,1.09581,7.6,35.2,7.6,37.0
2019-02-20,49.54155,0.0,8.4,89.4,10.0,9.0,11.6,1006.3,2.8,195.2,5.7,0.86838,8.5,34.6,8.5,36.7
2019-02-21,44.19197,0.0,8.9,92.8,10.4,9.0,12.1,1013.1,4.1,170.1,4.8,0.58381,9.4,34.0,9.5,36.5
2019-02-22,40.95605,0.0,8.4,93.2,9.3,7.6,10.8,1018.5,2.0,117.0,4.9,0.49047,8.9,33.6,8.9,36.0
2019-02-23,43.97126,0.0,9.0,93.1,10.4,7.0,13.2,1018.7,1.8,137.0,3.2,0.43359,9.1,33.4,9.1,36.0
2019-02-24,43.87748,0.0,8.3,97.4,8.5,5.9,11.9,1021.5,4.4,93.9,3.4,0.23424,9.2,33.3,9.3,35.9
2019-02-25,40.50437,0.0,7.7,92.1,8.4,4.9,12.6,1021.6,5.4,88.7,3.3,0.62857,8.6,33.1,8.6,35.8
2019-02-26,39.23808,0.0,7.8,91.8,8.6,5.8,12.9,1017.6,3.8,95.0,3.7,0.65114,8.2,33.0,8.2,35.7
2019-02-27,41.87847,0.0,8.4,93.2,9.5,5.5,13.5,1011.8,6.2,138.0,2.7,0.54018,8.5,32.9,8.5,35.6
2019-02-28,46.42303,1.3,9.0,95.2,10.1,8.6,11.8,1007.3,3.8,260.0,7.1,0.43587,9.6,33.2,9.6,35.8
