timestamp,2021-03-01 14:31:54
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,88.2
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
2021-02-01,66.1,6.5,9.0,99.9,9.3,8.2,11.1,985.2,2.4,179.3,3.2,0.3,8.7,65.2,8.7,57.6,,0.092
2021-02-02,60.1,0.4,9.4,97.0,10.5,9.0,11.6,984.4,1.8,233.3,7.3,0.4,9.5,65.1,9.5,57.4,,0.112
2021-02-03,59.6,0.3,7.7,91.3,8.2,6.6,10.2,988.5,0.4,261.4,3.8,0.7,8.4,65.3,8.3,57.6,,0.124
2021-02-04,54.9,1.6,8.1,98.8,7.8,5.8,9.8,995.4,0.6,216.1,2.4,0.5,7.6,65.4,7.5,58.0,,0.109
2021-02-05,55.9,1.2,6.9,88.9,6.9,3.9,8.8,997.8,1.9,268.6,3.4,0.9,7.4,65.6,7.3,58.1,,0.124
2021-02-06,56.9,0.0,6.1,90.1,4.9,2.1,8.1,996.6,2.5,326.1,2.2,1.0,5.8,65.8,5.7,58.4,,0.124
2021-02-07,59.5,0.1,5.0,86.6,2.6,0.3,5.4,995.3,-0.2,68.3,4.2,0.8,4.8,65.8,4.7,58.7,,0.116
2021-02-08,57.6,0.0,3.7,68.7,1.5,0.9,2.8,993.3,3.4,71.9,6.7,1.6,3.8,57.4,3.6,56.2,,0.144
2021-02-09,57.7,3.5,4.8,86.3,1.9,1.1,2.5,989.8,0.5,86.5,10.3,0.7,3.2,56.5,3.1,54.6,,0.106
2021-02-10,56.7,0.1,4.0,72.7,1.7,0.6,3.4,1003.0,0.8,75.2,7.6,1.2,2.7,58.2,2.7,56.1,,0.13
2021-02-11,54.2,0.6,4.4,76.7,2.5,1.6,3.5,1007.8,1.2,116.3,10.7,1.2,2.8,40.1,2.7,47.3,,0.131
2021-02-12,54.6,0.1,4.9,77.9,3.8,2.3,5.1,1011.1,3.6,110.7,10.1,1.4,3.4,38.4,3.4,45.3,,0.138
2021-02-13,62.8,21.6,6.4,93.9,4.9,3.2,7.6,1012.3,0.9,129.1,8.8,0.4,4.0,55.6,4.0,53.9,,0.09
2021-02-14,63.9,9.0,9.1,99.9,9.4,7.5,10.6,1005.7,0.5,179.1,8.1,0.0,6.5,63.9,6.5,59.1,,0.073
2021-02-15,58.2,0.1,9.4,98.8,10.1,8.6,11.3,1005.0,4.0,206.3,5.4,0.5,8.0,63.9,8.0,59.4,,0.12
2021-02-16,58.0,4.4,9.2,98.7,9.9,9.0,11.2,998.8,2.8,224.2,6.2,0.5,8.7,63.8,8.7,59.6,,0.111
2021-02-17,62.9,9.4,9.3,98.9,10.0,9.4,10.3,995.7,0.7,206.4,7.7,0.2,8.7,63.8,8.7,59.8,,0.101
2021-02-18,56.2,0.9,6.9,82.3,8.1,6.0,10.3,992.9,3.5,238.5,6.4,1.3,8.1,64.0,8.1,59.7,,0.133
2021-02-19,60.0,7.6,9.1,95.3,10.3,8.9,11.1,991.0,0.6,186.4,8.5,0.3,8.0,64.0,8.0,59.7,,0.109
2021-02-20,64.7,10.8,9.6,97.9,10.6,9.2,12.3,986.3,0.0,188.5,7.9,0.2,9.1,63.8,9.2,60.2,,0.112
2021-02-21,59.3,9.0,8.6,99.5,8.6,6.6,10.0,996.0,1.5,188.4,2.2,0.3,8.7,63.9,8.7,60.8,,0.102
