site-id,LIZRD,,,,,,,,,,,,,,,
site-name,The Lizard,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,"COSMOS probe soil moisture content, weighted mean method (1day)",Total precipitation (1 day),Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
01/06/2017,46.3,0.1,10.9,91.5,13.8,11.9,16.3,1008.5,14.6,162.4,2.6,0.9,17.1,32.0,17.3,35.7
02/06/2017,45.2,1.0,10.2,88.9,13.2,8.8,15.8,1006.0,8.3,275.6,2.9,1.0,16.7,31.8,16.9,35.5
03/06/2017,44.6,3.4,8.7,78.9,12.6,7.7,15.9,1006.0,16.3,261.9,3.8,1.9,15.6,35.5,15.8,36.7
04/06/2017,48.9,15.7,9.1,79.1,13.3,10.6,15.9,1005.2,18.0,243.8,4.2,2.1,16.1,47.1,17.0,48.1
05/06/2017,60.2,14.6,10.1,90.0,12.7,10.0,14.4,991.0,3.6,223.8,7.9,1.0,14.9,48.2,15.0,49.9
06/06/2017,57.5,1.3,8.1,75.1,12.3,10.4,14.4,995.2,18.0,285.7,9.3,2.7,13.9,56.8,13.8,58.0
07/06/2017,50.1,1.5,9.6,86.2,12.6,11.1,13.9,1003.3,9.5,238.1,6.7,1.4,14.2,36.2,14.3,37.8
08/06/2017,52.7,5.3,10.9,93.1,13.6,12.2,15.8,996.8,11.8,215.2,6.8,0.9,14.9,56.5,15.3,58.4
09/06/2017,50.9,1.3,10.5,89.6,13.6,11.8,15.6,1001.1,14.4,223.2,5.4,1.2,15.4,53.3,15.6,53.9
10/06/2017,53.9,1.4,11.6,95.6,14.0,13.2,14.7,1002.6,4.7,200.1,7.0,0.5,15.2,47.3,15.3,46.1
11/06/2017,50.1,0.0,10.6,88.7,13.9,12.3,15.9,1004.8,17.6,243.9,6.4,1.4,15.7,48.4,15.9,48.4
12/06/2017,50.7,0.0,9.5,82.0,13.4,9.9,16.1,1009.6,16.9,262.6,4.5,1.9,15.9,34.4,16.1,36.9
13/06/2017,49.7,0.1,9.2,81.5,13.1,9.0,17.2,1008.6,19.1,161.4,1.7,1.5,16.9,33.4,17.3,36.5
14/06/2017,45.3,0.4,10.3,84.1,14.5,9.0,20.2,1004.7,18.9,166.2,2.3,1.6,18.0,32.8,18.4,36.2
15/06/2017,47.3,0.6,10.4,83.6,14.6,11.4,17.1,1007.1,19.5,264.8,5.3,2.0,18.2,32.3,18.4,36.0
16/06/2017,42.0,0.2,10.6,83.8,15.0,11.6,18.8,1015.9,19.0,272.2,3.7,1.9,18.1,31.9,18.3,35.8
17/06/2017,44.6,0.0,10.2,70.4,17.3,10.7,23.3,1016.4,19.6,198.8,2.0,2.8,19.2,31.5,19.6,35.5
18/06/2017,44.3,0.0,11.1,69.2,18.9,13.4,23.1,1011.4,19.6,81.0,3.3,3.6,19.9,31.0,20.3,35.2
19/06/2017,44.5,0.0,12.9,74.2,20.4,15.6,25.8,1006.8,18.8,73.7,3.8,3.6,20.5,30.5,20.9,34.8
20/06/2017,41.6,0.2,13.0,70.8,21.3,15.4,26.5,1004.7,18.9,73.0,4.1,4.3,21.0,30.1,21.3,34.4
21/06/2017,42.0,0.0,13.2,84.1,18.4,16.1,23.5,1002.2,16.8,172.6,4.2,2.2,21.2,29.7,21.5,34.1
22/06/2017,42.5,0.0,10.9,79.8,16.0,12.9,19.2,1004.4,12.8,281.3,4.8,2.3,20.2,29.5,20.3,33.8
23/06/2017,39.2,0.0,11.0,79.6,16.3,14.3,18.6,1007.4,13.7,254.6,5.6,2.4,19.0,29.3,19.2,33.6
24/06/2017,40.3,2.1,12.1,92.4,15.3,13.3,17.3,1004.9,8.6,262.1,4.9,0.9,18.5,31.1,18.6,33.6
25/06/2017,40.9,0.1,11.1,86.9,15.0,12.3,17.7,1004.3,13.9,272.3,5.0,1.6,18.0,29.5,18.1,33.7
26/06/2017,38.4,0.0,10.2,80.1,14.9,12.8,17.5,1002.0,12.2,186.4,1.6,1.5,18.5,29.2,18.7,33.5
27/06/2017,40.5,1.2,11.6,91.2,14.8,12.3,17.8,994.4,6.9,214.1,2.2,0.8,18.2,29.0,18.3,33.3
