SITE ,OB TIME,Rad,WB,DB,WS,WD,RAIN,10CM SOIL,30CM SOIL,RH
LINTON ON OUSE,01/07/2018,,12.2,12.8,4,80,0,20.9,,92.8
LINTON ON OUSE,01/07/2018 01:00,,10.6,11.3,4,20,0,20.3,,91.3
LINTON ON OUSE,01/07/2018 02:00,,9.9,10.4,5,310,0,19.8,,93.4
LINTON ON OUSE,01/07/2018 03:00,,9.8,10.2,6,310,0,19.4,,94.7
LINTON ON OUSE,01/07/2018 04:00,,9.6,9.9,6,320,0,18.9,,96.1
LINTON ON OUSE,01/07/2018 05:00,,9.9,10.2,8,320,0,18.5,,96.1
LINTON ON OUSE,01/07/2018 06:00,,11.3,11.5,7,330,0,18.2,,97.5
LINTON ON OUSE,01/07/2018 07:00,,13.1,14,7,320,0,18.1,,89.7
LINTON ON OUSE,01/07/2018 08:00,,14.8,17.4,6,350,0,18.1,,74.1
LINTON ON OUSE,01/07/2018 09:00,,15.8,20.3,5,80,0,18.5,16.7,60
LINTON ON OUSE,01/07/2018 10:00,,15.8,23.5,6,70,0,19.2,,40.4
LINTON ON OUSE,01/07/2018 11:00,,15,25.2,11,90,0,20.1,,27.3
LINTON ON OUSE,01/07/2018 12:00,,15.9,25.5,10,100,0,21.1,,31.5
LINTON ON OUSE,01/07/2018 13:00,,15.8,25.4,12,100,0,22,,31.3
LINTON ON OUSE,01/07/2018 14:00,,15.5,25.8,13,100,0,22.9,,27.8
LINTON ON OUSE,01/07/2018 15:00,,15.1,25.1,15,110,0,23.6,,28.4
LINTON ON OUSE,01/07/2018 16:00,,15.1,24.6,14,100,0,24.1,,30.5
LINTON ON OUSE,01/07/2018 17:00,,14.6,23.9,14,110,0,24.3,,30.5
LINTON ON OUSE,01/07/2018 18:00,,14.3,22.7,10,80,0,24.2,,34.3
LINTON ON OUSE,01/07/2018 19:00,,14.4,20.8,9,80,0,23.9,,45.6
LINTON ON OUSE,01/07/2018 20:00,,13.8,19,8,80,0,23.4,,52.5
LINTON ON OUSE,01/07/2018 21:00,,13.2,17,6,70,0,22.8,,62.4
LINTON ON OUSE,01/07/2018 22:00,,12.8,15.1,5,60,0,22.2,,75.2
