SITE,OB TIME,RADIATION,WET BULB,AIR TEMP,WIND SPEED,WIND DIR,RAINFALL,10CM SOIL,30CM SOIL,RH
LINTON ON OUSE,01-Jul-17,,12,13,9,320,0,15.8,,88.3
LINTON ON OUSE,01/07/2017 01:00,,11.9,12.9,8,330,0,15.5,,88.2
LINTON ON OUSE,01/07/2017 02:00,,11.9,12.8,8,320,0,15.3,,89.3
LINTON ON OUSE,01/07/2017 03:00,,11.9,12.7,6,330,0,15.2,,90.5
LINTON ON OUSE,01/07/2017 04:00,,12,12.8,9,330,0,15,,90.5
LINTON ON OUSE,01/07/2017 05:00,,12.1,13,6,330,0,14.9,,89.4
LINTON ON OUSE,01/07/2017 06:00,,12.7,13.7,5,300,0,14.8,,88.5
LINTON ON OUSE,01/07/2017 07:00,,13.2,14.6,4,270,0,15,,84.5
LINTON ON OUSE,01/07/2017 08:00,,13.5,16,5,240,0,15.3,,73.9
LINTON ON OUSE,01/07/2017 09:00,,14.7,17.4,9,260,0,16.1,15.9,73.1
LINTON ON OUSE,01/07/2017 10:00,,15.1,18.1,10,260,0,16.7,,70.9
LINTON ON OUSE,01/07/2017 11:00,,14,17.2,10,270,0,17.3,,68.2
LINTON ON OUSE,01/07/2017 12:00,,14.9,18.8,9,260,0,17.7,,63.5
LINTON ON OUSE,01/07/2017 13:00,,14.6,19.4,11,250,0,18.1,,56.5
LINTON ON OUSE,01/07/2017 14:00,,14.1,19.7,12,260,0,18.7,,50.3
LINTON ON OUSE,01/07/2017 15:00,,14.2,20,13,260,0,19.1,,49.2
LINTON ON OUSE,01/07/2017 16:00,,13,17.8,12,250,0,19.4,,54.4
LINTON ON OUSE,01/07/2017 17:00,,13.2,17.2,11,280,0,19.1,,60.8
LINTON ON OUSE,01/07/2017 18:00,,13.3,15.6,7,270,0.4,18.6,,75.7
LINTON ON OUSE,01/07/2017 19:00,,13.3,15.5,17,260,0,18.1,,76.7
LINTON ON OUSE,01/07/2017 20:00,,13.5,15.4,11,260,0,17.7,,79.7
LINTON ON OUSE,01/07/2017 21:00,,13.6,15,8,260,0,17.3,,84.7
LINTON ON OUSE,01/07/2017 22:00,,13.9,15.3,6,250,0,17,,84.9
LINTON ON OUSE,01/07/2017 23:00,,13.2,14.6,7,250,0,16.8,,84.5
LINTON ON OUSE,02-Jul-17,,11.3,13.3,5,270,0,16.4,,77
LINTON ON OUSE,02/07/2017 01:00,,9.9,11.5,4,310,0,16,,80.3
LINTON ON OUSE,02/07/2017 02:00,,8.8,10.4,4,280,0,15.6,,79.5
LINTON ON OUSE,02/07/2017 03:00,,8.8,10.4,8,300,0,15.1,,79.5
LINTON ON OUSE,02/07/2017 04:00,,8.9,10.4,2,310,0,14.6,,80.7
LINTON ON OUSE,02/07/2017 05:00,,8.9,10.2,7,260,0,14.3,,83.1
LINTON ON OUSE,02/07/2017 06:00,,10.2,12.5,7,260,0,14.1,,73
LINTON ON OUSE,02/07/2017 07:00,,11.1,14.2,6,270,0,14.2,,66
LINTON ON OUSE,02/07/2017 08:00,,12,16.3,9,310,0,14.5,,56.8
LINTON ON OUSE,02/07/2017 09:00,,12.8,17.3,14,290,0,15.4,16.1,56.3
LINTON ON OUSE,02/07/2017 10:00,,12.9,17.2,13,290,0,16.1,,58
LINTON ON OUSE,02/07/2017 11:00,,13.6,18.2,15,290,0,16.8,,56.6
LINTON ON OUSE,02/07/2017 12:00,,13.5,18.9,14,280,0,17.6,,50.7
LINTON ON OUSE,02/07/2017 13:00,,13.9,18.9,15,290,0,18.3,,54.1
LINTON ON OUSE,02/07/2017 14:00,,14.1,19.6,14,270,0,19.1,,50.9
LINTON ON OUSE,02/07/2017 15:00,,13.7,19.5,13,290,0,19.8,,48.3
LINTON ON OUSE,02/07/2017 16:00,,13.7,19.4,12,290,0,20.4,,49
LINTON ON OUSE,02/07/2017 17:00,,13.9,18.8,9,290,0,20.8,,54.8
LINTON ON OUSE,02/07/2017 18:00,,13,17.2,8,260,0,20.7,,58.9
LINTON ON OUSE,02/07/2017 19:00,,,16.6,4,290,0,20.2,,60.1
