site,OBTIME,RAD,WB,DB,WS,WD,RAIN,10CM,30CM,RH
THE LIZARD NNR,01/07/2018,,,,5,50,0,,,
THE LIZARD NNR,01/07/2018 01:00,,,,6,60,0,,,
THE LIZARD NNR,01/07/2018 02:00,,,,7,70,0,,,
THE LIZARD NNR,01/07/2018 03:00,,,,9,50,0,,,
THE LIZARD NNR,01/07/2018 04:00,,,,9,60,0,,,
THE LIZARD NNR,01/07/2018 05:00,,,,8,60,0,,,
THE LIZARD NNR,01/07/2018 06:00,,,,8,70,0,,,
THE LIZARD NNR,01/07/2018 07:00,,,,8,80,1.2,,,
THE LIZARD NNR,01/07/2018 08:00,,,,9,70,0.8,,,
THE LIZARD NNR,01/07/2018 09:00,,,,9,60,0.2,,,
THE LIZARD NNR,01/07/2018 10:00,,,,10,60,1.4,,,
THE LIZARD NNR,01/07/2018 11:00,,,,8,60,0,,,
THE LIZARD NNR,01/07/2018 12:00,,,,11,70,0,,,
THE LIZARD NNR,01/07/2018 13:00,,,,10,70,0,,,
THE LIZARD NNR,01/07/2018 14:00,,,,7,80,0,,,
THE LIZARD NNR,01/07/2018 15:00,,,,7,90,0,,,
THE LIZARD NNR,01/07/2018 16:00,,,,7,100,0,,,
THE LIZARD NNR,01/07/2018 17:00,,,,6,100,0,,,
THE LIZARD NNR,01/07/2018 18:00,,,,5,290,0,,,
THE LIZARD NNR,01/07/2018 19:00,,,,5,270,0,,,
THE LIZARD NNR,01/07/2018 20:00,,,,3,300,0,,,
THE LIZARD NNR,01/07/2018 21:00,,,,3,340,0,,,
THE LIZARD NNR,01/07/2018 22:00,,,,2,40,0,,,
THE LIZARD NNR,01/07/2018 23:00,,,,2,10,0,,,
THE LIZARD NNR,02/07/2018,,,,2,360,0,,,
THE LIZARD NNR,02/07/2018 01:00,,,,3,10,0,,,
THE LIZARD NNR,02/07/2018 02:00,,,,2,30,0,,,
THE LIZARD NNR,02/07/2018 03:00,,,,3,20,0,,,
THE LIZARD NNR,02/07/2018 04:00,,,,2,30,0,,,
THE LIZARD NNR,02/07/2018 05:00,,,,3,20,0,,,
THE LIZARD NNR,02/07/2018 06:00,,,,3,10,0,,,
THE LIZARD NNR,02/07/2018 07:00,,,,7,50,0,,,
THE LIZARD NNR,02/07/2018 08:00,,,,9,50,0,,,
THE LIZARD NNR,02/07/2018 09:00,,,,11,60,0,,,
THE LIZARD NNR,02/07/2018 10:00,,,,10,60,0,,,
THE LIZARD NNR,02/07/2018 11:00,,,,11,90,0,,,
THE LIZARD NNR,02/07/2018 12:00,,,,11,90,0,,,
THE LIZARD NNR,02/07/2018 13:00,,,,12,80,0,,,
THE LIZARD NNR,02/07/2018 14:00,,,,11,80,0,,,
THE LIZARD NNR,02/07/2018 15:00,,,,13,80,0,,,
THE LIZARD NNR,02/07/2018 16:00,,,,10,80,0,,,
THE LIZARD NNR,02/07/2018 17:00,,,,9,80,0,,,
THE LIZARD NNR,02/07/2018 18:00,,,,8,70,0,,,
THE LIZARD NNR,02/07/2018 19:00,,,,6,60,0,,,
THE LIZARD NNR,02/07/2018 20:00,,,,3,40,0,,,
THE LIZARD NNR,02/07/2018 21:00,,,,4,50,0,,,
THE LIZARD NNR,02/07/2018 22:00,,,,6,70,0,,,
THE LIZARD NNR,02/07/2018 23:00,,,,5,90,0,,,
THE LIZARD NNR,03/07/2018,,,,5,70,0,,,
THE LIZARD NNR,03/07/2018 01:00,,,,6,70,0,,,
THE LIZARD NNR,03/07/2018 02:00,,,,7,80,0,,,
THE LIZARD NNR,03/07/2018 03:00,,,,6,70,0,,,
THE LIZARD NNR,03/07/2018 04:00,,,,4,60,0,,,
THE LIZARD NNR,03/07/2018 05:00,,,,6,50,0,,,
THE LIZARD NNR,03/07/2018 06:00,,,,6,50,0,,,
THE LIZARD NNR,03/07/2018 07:00,,,,6,60,0,,,
THE LIZARD NNR,03/07/2018 08:00,,,,9,60,0,,,
THE LIZARD NNR,03/07/2018 09:00,,,,13,70,0,,,
THE LIZARD NNR,03/07/2018 10:00,,,,15,70,0,,,
THE LIZARD NNR,03/07/2018 11:00,,,,14,80,0,,,
THE LIZARD NNR,03/07/2018 12:00,,,,20,80,0,,,
THE LIZARD NNR,03/07/2018 13:00,,,,17,70,0,,,
THE LIZARD NNR,03/07/2018 14:00,,,,13,60,0,,,
THE LIZARD NNR,03/07/2018 15:00,,,,10,60,0,,,
THE LIZARD NNR,03/07/2018 16:00,,,,12,60,0,,,
THE LIZARD NNR,03/07/2018 17:00,,,,14,80,0.4,,,
THE LIZARD NNR,03/07/2018 18:00,,,,14,80,0,,,
THE LIZARD NNR,03/07/2018 19:00,,,,12,90,0,,,
THE LIZARD NNR,03/07/2018 20:00,,,,11,90,0.2,,,
THE LIZARD NNR,03/07/2018 21:00,,,,9,90,0,,,
THE LIZARD NNR,03/07/2018 22:00,,,,7,90,0,,,
THE LIZARD NNR,03/07/2018 23:00,,,,8,80,0,,,
THE LIZARD NNR,04/07/2018,,,,6,100,0,,,
THE LIZARD NNR,04/07/2018 01:00,,,,8,110,0,,,
THE LIZARD NNR,04/07/2018 02:00,,,,8,100,0.2,,,
THE LIZARD NNR,04/07/2018 03:00,,,,8,100,0,,,
THE LIZARD NNR,04/07/2018 04:00,,,,8,110,0.2,,,
THE LIZARD NNR,04/07/2018 05:00,,,,7,110,0,,,
THE LIZARD NNR,04/07/2018 06:00,,,,8,110,0.4,,,
THE LIZARD NNR,04/07/2018 07:00,,,,7,140,0.8,,,
THE LIZARD NNR,04/07/2018 08:00,,,,7,120,1.8,,,
THE LIZARD NNR,04/07/2018 09:00,,,,6,140,1,,,
THE LIZARD NNR,04/07/2018 10:00,,,,8,120,0,,,
THE LIZARD NNR,04/07/2018 11:00,,,,7,130,0,,,
THE LIZARD NNR,04/07/2018 12:00,,,,6,110,0,,,
THE LIZARD NNR,04/07/2018 13:00,,,,6,120,0.2,,,
THE LIZARD NNR,04/07/2018 14:00,,,,5,120,1.2,,,
THE LIZARD NNR,04/07/2018 15:00,,,,6,150,1.2,,,
THE LIZARD NNR,04/07/2018 16:00,,,,4,140,0.6,,,
THE LIZARD NNR,04/07/2018 17:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 18:00,,,,4,120,0,,,
THE LIZARD NNR,04/07/2018 19:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 20:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 21:00,,,,4,90,0,,,
THE LIZARD NNR,04/07/2018 22:00,,,,4,80,0,,,
THE LIZARD NNR,04/07/2018 23:00,,,,4,80,0,,,
THE LIZARD NNR,05/07/2018,,,,5,60,0,,,
THE LIZARD NNR,05/07/2018 01:00,,,,6,50,0,,,
THE LIZARD NNR,05/07/2018 02:00,,,,5,70,0,,,
THE LIZARD NNR,05/07/2018 03:00,,,,4,50,0,,,
THE LIZARD NNR,05/07/2018 04:00,,,,2,20,0,,,
THE LIZARD NNR,05/07/2018 05:00,,,,2,10,0,,,
THE LIZARD NNR,05/07/2018 06:00,,,,2,10,0,,,
THE LIZARD NNR,05/07/2018 07:00,,,,1,40,0,,,
THE LIZARD NNR,05/07/2018 08:00,,,,3,360,0,,,
THE LIZARD NNR,05/07/2018 09:00,,,,3,30,0,,,
THE LIZARD NNR,05/07/2018 10:00,,,,4,270,0,,,
THE LIZARD NNR,05/07/2018 11:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 12:00,,,,6,320,0,,,
THE LIZARD NNR,05/07/2018 13:00,,,,5,320,0,,,
THE LIZARD NNR,05/07/2018 14:00,,,,6,320,0,,,
THE LIZARD NNR,05/07/2018 15:00,,,,7,300,0,,,
THE LIZARD NNR,05/07/2018 16:00,,,,8,320,0,,,
THE LIZARD NNR,05/07/2018 17:00,,,,8,320,0,,,
THE LIZARD NNR,05/07/2018 18:00,,,,8,310,0,,,
THE LIZARD NNR,05/07/2018 19:00,,,,6,300,0,,,
THE LIZARD NNR,05/07/2018 20:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 21:00,,,,4,300,0,,,
THE LIZARD NNR,05/07/2018 22:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 23:00,,,,5,310,0,,,
THE LIZARD NNR,06/07/2018,,,,5,300,0,,,
