FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1884-01,8.35,8.78,10.45,7.97,8.90,8.85,1.84,7.22,8.19,5.20,8.10,8.59,3.23,8.64,8.57,7.01,4.04,4.39,7.51,9.44,7.85,8.39,4.84,8.70,6.16,9.04,8.52,9.45,8.18,7.68,7.65,6.82,8.82,8.02,9.18,8.75,8.51
1884-02,7.34,8.41,9.65,7.61,8.61,8.67,0.40,6.50,7.13,4.26,8.14,8.14,2.27,8.61,7.62,7.23,2.82,3.74,6.99,8.94,7.48,7.69,3.75,8.28,5.11,8.79,7.71,9.09,7.75,7.13,7.36,5.27,8.57,7.27,8.99,7.93,7.84
1884-03,8.83,10.61,8.07,9.67,10.76,11.03,1.77,8.28,9.47,6.00,10.67,10.17,3.75,11.05,9.81,9.52,4.82,5.51,8.04,9.53,9.45,9.46,5.88,10.19,6.64,11.27,9.88,10.68,9.69,8.89,8.54,7.36,10.63,8.80,11.51,10.08,9.42
1884-04,10.50,11.35,11.86,10.24,11.51,11.70,3.15,9.57,10.55,7.22,11.96,11.00,6.08,11.81,11.09,11.81,6.76,7.51,9.06,9.98,10.17,10.47,7.84,10.97,7.61,12.03,11.03,11.25,10.33,11.47,9.14,7.92,11.62,11.58,12.29,11.15,10.92
1884-05,14.44,17.33,16.16,16.01,17.43,17.93,7.82,14.67,15.87,12.30,17.23,15.89,9.95,17.62,15.86,15.69,10.57,12.21,13.36,13.49,15.88,15.86,11.79,16.55,12.81,17.97,16.18,16.64,16.09,14.63,13.64,13.54,17.56,14.06,18.23,16.59,15.78
1884-06,16.66,19.21,18.81,17.48,19.36,19.56,11.35,17.25,18.79,15.00,19.82,18.79,13.22,19.31,18.39,19.46,13.61,15.46,16.29,16.99,17.26,17.53,14.64,19.14,14.76,19.75,18.91,18.85,18.19,17.52,16.42,16.08,19.59,16.74,20.06,19.35,19.35
1884-07,18.41,21.62,20.47,21.44,21.70,22.60,12.36,19.17,19.71,16.51,22.96,20.90,14.28,22.42,19.80,20.72,15.19,16.65,18.06,17.86,21.29,19.49,16.22,20.44,16.99,22.41,20.21,20.41,19.78,18.80,18.72,17.57,21.42,18.30,22.71,20.43,19.63
1884-08,20.18,23.81,22.40,21.96,23.89,24.47,13.60,21.19,21.92,18.82,24.94,22.87,15.37,24.38,21.99,21.90,16.55,17.58,18.77,19.21,21.70,22.30,17.64,22.94,18.12,24.58,22.55,23.09,22.43,20.20,20.15,19.96,23.79,19.75,24.87,22.75,21.68
1884-09,17.61,19.42,19.70,18.47,19.53,19.88,11.06,17.05,18.14,14.92,19.66,18.51,13.13,19.87,18.33,18.83,13.80,14.28,15.98,17.01,18.32,18.83,14.64,18.93,15.02,20.11,18.62,19.38,18.22,17.51,17.18,16.02,19.37,17.83,20.34,18.73,18.35
1884-10,12.22,13.40,14.62,13.12,13.68,13.59,5.54,10.93,12.29,8.86,13.05,12.82,7.37,13.54,12.39,12.13,8.03,9.17,12.23,13.23,13.06,13.25,8.84,13.64,10.51,13.56,12.41,14.48,12.99,12.20,11.94,10.47,13.83,12.61,13.75,12.86,12.95
1884-11,8.66,8.43,10.77,8.16,8.66,8.28,1.98,7.35,7.70,5.38,7.93,8.61,3.82,8.43,8.33,7.66,4.34,4.94,8.08,10.29,8.07,8.61,5.29,8.73,6.31,8.40,8.14,9.82,8.02,8.20,8.56,6.41,8.59,8.82,8.55,8.27,8.80
1884-12,6.72,7.12,8.86,6.65,7.42,6.73,0.00,5.24,5.98,3.24,6.45,6.89,1.86,6.96,6.41,5.09,2.48,2.66,5.70,8.67,6.60,7.27,3.33,7.49,4.37,6.80,6.23,8.67,6.91,6.05,6.86,4.74,7.35,6.53,6.93,6.60,7.29
1885-01,5.23,4.72,7.86,4.16,4.99,4.66,-0.68,3.25,4.14,1.37,4.29,4.83,0.86,4.59,4.69,5.01,1.31,1.71,4.84,7.41,4.09,4.89,1.97,5.47,2.61,4.81,4.32,6.42,4.57,4.83,4.68,2.76,4.96,5.11,4.96,4.55,5.83
1885-02,7.97,9.46,10.76,8.47,9.61,9.44,0.89,7.09,8.27,4.81,8.86,8.71,2.58,9.55,8.48,7.74,3.48,4.16,7.34,9.49,8.33,8.11,4.43,8.93,5.61,9.59,8.62,9.52,8.47,7.25,7.71,6.32,9.43,7.17,9.77,9.04,8.92
1885-03,7.04,8.83,9.62,8.22,8.98,9.54,-0.03,6.40,7.83,4.16,9.16,8.18,2.44,9.20,7.95,8.14,3.18,4.30,7.10,8.51,8.16,8.13,4.21,8.71,4.90,9.59,8.06,9.11,8.06,7.68,7.01,5.58,8.93,7.82,9.85,8.43,8.65
1885-04,10.31,13.16,12.43,11.79,13.37,13.41,3.55,10.37,11.54,7.86,13.25,11.87,5.71,13.69,11.68,11.71,6.81,8.12,10.03,10.21,11.73,11.79,8.00,12.37,8.92,13.64,12.04,12.73,12.08,10.70,10.11,8.79,13.43,10.39,13.88,12.25,11.53
1885-05,11.46,13.98,13.15,13.29,14.19,14.18,4.64,11.57,12.38,9.16,13.61,12.85,7.43,14.28,12.57,13.27,7.69,9.71,11.24,11.91,13.27,12.51,8.84,13.56,10.07,14.20,13.00,13.67,12.87,12.12,11.32,9.91,14.31,11.74,14.44,13.32,13.07
1885-06,16.02,19.68,19.01,18.49,19.85,20.21,10.61,17.41,18.50,15.05,19.85,18.63,12.35,20.22,18.08,18.68,13.13,14.93,15.95,16.06,18.39,18.67,14.25,19.21,14.93,20.26,18.92,19.12,18.60,16.71,17.28,15.80,20.17,15.82,20.53,19.19,18.63
1885-07,18.11,22.89,20.90,20.29,23.06,22.76,12.30,19.86,21.42,17.17,22.48,21.10,13.53,22.93,20.59,19.13,15.19,16.93,18.76,18.07,20.08,20.55,16.32,22.29,17.38,23.14,21.52,22.19,21.74,18.31,18.26,18.91,23.18,17.68,23.41,22.24,20.89
1885-08,16.31,19.21,20.09,18.06,19.60,19.23,9.31,16.14,17.77,13.98,18.67,17.42,11.52,19.41,17.61,16.77,12.69,13.29,14.94,17.67,18.22,18.95,13.56,20.16,14.01,19.14,17.99,20.48,19.10,16.66,16.50,15.54,19.98,16.53,19.40,18.34,19.55
1885-09,15.11,17.10,17.60,16.70,17.27,17.66,8.09,15.10,16.17,12.90,17.20,16.64,9.86,17.43,16.17,15.09,10.98,12.12,14.50,15.51,16.67,16.38,11.96,16.99,13.54,17.89,16.63,17.46,16.11,14.60,15.60,13.84,17.16,14.94,18.12,16.84,16.59
1885-10,9.80,11.07,12.84,10.52,11.37,11.10,2.85,8.81,9.75,6.63,10.71,10.28,5.00,11.18,9.92,9.70,5.45,6.51,9.43,11.65,10.51,11.02,6.26,11.49,7.79,11.18,10.11,12.38,10.70,9.85,10.09,7.73,11.48,10.36,11.38,10.43,11.08
1885-11,8.21,8.70,10.98,8.19,8.96,8.48,1.85,6.81,7.36,4.89,7.88,8.29,3.48,8.83,7.97,7.60,3.98,4.86,8.13,10.67,8.10,8.75,4.83,8.65,6.09,8.54,7.90,9.79,8.15,7.64,8.38,6.04,8.80,8.18,8.69,7.97,9.04
1885-12,6.76,6.09,8.32,5.74,6.24,5.99,1.11,5.45,5.66,3.48,5.67,6.73,2.73,6.10,6.38,6.66,2.75,3.50,6.26,8.13,5.66,6.15,3.51,6.51,4.23,6.25,6.15,7.59,5.78,6.39,6.27,4.56,6.19,6.75,6.37,6.26,6.60
