FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1884-01,6.50,6.09,8.53,5.59,6.19,6.00,0.48,4.76,5.52,3.23,5.57,5.56,2.03,5.80,5.90,4.80,2.37,2.59,5.55,7.83,5.30,6.13,2.96,6.03,3.85,6.21,5.82,7.10,5.63,5.33,5.50,4.65,6.07,6.25,6.31,6.27,6.39
1884-02,5.02,5.22,6.75,5.08,5.43,5.25,-0.71,3.55,4.20,1.77,5.03,4.85,0.78,5.22,4.57,4.35,1.15,1.47,4.56,7.18,4.92,5.36,1.76,5.25,2.89,5.31,4.60,6.54,4.98,4.58,4.97,3.07,5.30,5.29,5.43,4.88,5.42
1884-03,6.09,6.21,6.77,6.13,6.39,6.54,-0.41,4.58,5.61,2.66,6.36,5.70,1.48,6.46,5.90,5.93,2.05,2.38,5.22,7.60,5.95,6.17,2.94,6.26,3.84,6.53,5.76,7.29,5.83,5.59,5.97,3.90,6.35,6.17,6.71,6.09,6.24
1884-04,7.21,6.61,8.42,6.97,6.68,6.94,0.32,5.53,6.19,3.56,7.08,6.39,2.81,7.01,6.64,7.19,3.34,3.63,6.03,7.87,6.96,6.76,4.20,6.36,4.87,6.94,6.59,7.29,5.91,7.00,6.92,4.32,6.63,8.00,7.09,6.74,6.86
1884-05,10.67,11.43,12.08,11.44,11.49,11.86,4.66,9.54,10.15,7.43,11.55,10.28,6.24,11.68,10.49,10.54,6.70,7.23,9.63,11.07,11.36,11.46,7.74,11.07,8.73,11.59,10.67,12.06,10.82,10.19,10.44,8.50,11.62,10.77,11.76,10.82,10.94
1884-06,13.35,13.96,14.75,13.28,14.05,13.93,8.96,11.97,12.95,9.92,13.91,12.41,9.48,14.10,13.07,14.28,9.65,10.76,12.64,13.86,13.19,13.26,10.68,13.92,10.99,13.95,13.24,14.58,13.28,13.32,13.20,11.10,14.14,13.62,14.13,13.63,14.04
1884-07,15.26,16.28,17.14,16.70,16.38,17.04,9.35,14.62,15.06,12.52,17.21,15.55,10.90,16.75,15.14,15.88,11.69,12.22,14.55,15.26,16.64,15.73,12.68,15.96,13.50,16.72,15.40,16.78,15.36,14.87,15.42,13.28,16.24,15.58,16.96,15.72,15.69
1884-08,16.40,17.31,18.13,17.34,17.36,18.08,9.89,15.52,15.75,13.43,18.37,16.38,11.68,17.94,16.31,16.21,12.62,12.62,14.97,16.49,17.27,17.50,13.55,16.88,14.07,17.76,16.53,17.98,16.51,15.70,16.63,14.52,17.30,16.58,17.98,16.52,16.73
1884-09,14.28,14.64,15.64,14.74,14.72,15.08,8.03,12.73,13.71,11.16,14.86,13.72,9.82,15.05,13.96,13.71,10.48,10.11,12.38,14.75,14.64,14.99,11.21,14.53,11.66,14.93,14.04,15.82,14.04,13.51,14.32,12.26,14.71,14.78,15.09,14.22,14.33
1884-10,9.78,8.81,11.84,9.26,8.87,9.15,3.46,7.58,8.31,6.16,9.02,8.30,5.30,8.98,8.84,8.59,5.71,5.88,9.03,11.14,9.14,9.37,6.23,9.08,7.12,9.07,8.72,10.54,8.63,8.95,9.19,7.18,8.89,10.06,9.20,8.95,9.42
1884-11,6.21,4.99,8.20,5.62,5.16,5.04,-0.06,4.31,4.45,2.66,4.87,5.42,1.77,5.04,5.07,4.10,2.30,2.22,5.52,8.34,5.46,5.81,2.87,5.22,3.97,5.02,4.85,6.67,4.79,4.94,6.22,3.69,5.01,6.57,5.11,5.09,6.08
1884-12,4.69,4.40,6.87,4.18,4.60,4.13,-1.58,2.75,3.61,0.97,3.97,3.76,0.21,4.20,3.80,2.40,0.58,0.47,3.49,6.78,3.99,4.80,1.16,4.54,2.19,4.16,3.69,6.02,4.23,3.35,4.52,2.71,4.27,4.74,4.26,4.15,4.92
1885-01,3.28,2.13,5.68,2.31,2.32,2.08,-2.17,1.13,1.83,-0.30,2.19,2.05,-0.66,1.90,2.34,2.02,-0.36,-0.22,3.06,5.63,2.14,2.88,0.10,2.63,0.87,2.22,2.01,3.78,2.01,2.52,2.95,1.08,2.24,3.49,2.34,2.40,3.50
1885-02,5.39,6.10,7.72,5.58,6.28,5.80,-0.60,3.94,5.01,2.16,5.66,5.00,0.76,6.02,5.18,4.45,1.40,1.44,4.45,7.47,5.37,5.78,2.06,5.82,3.06,5.87,5.20,6.94,5.60,4.39,5.20,3.86,6.03,4.91,5.97,5.64,6.20
1885-03,4.41,4.28,6.57,4.46,4.43,4.60,-2.55,2.90,4.00,1.01,4.52,3.77,-0.32,4.42,4.26,4.10,0.17,0.88,4.12,6.29,4.40,4.37,1.06,4.57,2.16,4.60,4.15,5.46,3.94,3.98,4.40,2.25,4.44,4.72,4.78,4.53,4.98
1885-04,7.26,7.92,8.88,8.02,8.04,8.15,0.60,6.14,6.63,4.11,8.29,6.78,2.64,8.35,7.04,7.14,3.36,4.04,6.60,7.63,8.00,7.72,4.31,7.36,5.57,8.09,7.31,8.40,7.22,6.59,7.55,4.65,7.93,7.31,8.24,7.39,7.26
1885-05,8.45,9.08,9.82,9.04,9.20,9.27,2.18,7.06,7.66,5.04,8.81,7.96,4.18,9.23,8.02,8.52,4.52,5.18,7.73,8.90,9.00,8.95,5.51,8.85,7.09,8.99,8.19,9.83,8.50,8.17,8.24,6.00,9.29,8.85,9.15,8.37,8.83
1885-06,12.85,14.22,15.28,14.05,14.32,14.50,6.94,12.38,13.02,10.26,14.34,12.59,8.07,14.69,13.08,13.09,9.22,9.97,12.39,13.24,14.00,14.19,10.35,13.90,11.20,14.43,13.55,14.63,13.45,12.49,13.75,11.18,14.49,12.86,14.61,13.78,13.93
1885-07,14.83,16.77,17.02,15.70,16.87,16.81,8.84,14.73,15.38,12.60,16.46,15.11,10.08,16.91,15.23,14.38,11.28,12.09,14.68,14.78,15.67,15.95,12.34,16.08,13.44,16.80,15.77,16.77,15.73,14.37,14.88,13.37,16.78,15.09,17.00,16.17,15.94
1885-08,13.14,14.21,15.78,14.12,14.47,14.43,6.62,11.86,12.71,9.84,14.05,12.63,8.47,14.38,12.98,12.24,9.44,9.51,12.20,14.39,14.20,14.65,10.30,14.60,11.15,14.12,13.18,15.77,14.00,12.64,13.63,11.34,14.70,13.63,14.32,13.43,14.55
1885-09,11.87,12.38,13.31,12.60,12.55,12.92,5.54,10.44,11.36,8.82,12.49,11.33,7.13,12.62,11.64,10.71,7.86,8.13,10.86,12.82,12.56,12.57,8.61,12.46,10.02,12.76,11.82,13.82,11.93,10.90,12.39,9.80,12.59,12.17,12.93,11.99,12.21
1885-10,7.44,7.41,10.23,7.43,7.53,7.49,1.24,5.72,6.19,4.22,7.28,6.71,3.05,7.40,6.65,6.33,3.51,3.87,7.12,9.26,7.33,7.54,4.10,7.53,5.51,7.49,6.74,9.00,7.10,6.76,7.70,4.97,7.49,7.88,7.62,6.99,7.89
1885-11,6.07,5.66,8.89,6.02,5.86,5.50,-0.11,4.24,4.70,2.68,5.35,5.55,1.74,5.62,5.14,4.34,2.20,2.39,5.83,9.07,5.85,6.19,2.77,5.81,4.21,5.48,5.04,7.25,5.44,4.62,6.33,3.95,5.69,6.08,5.58,5.33,6.93
1885-12,4.56,3.01,6.02,3.03,3.12,3.05,-1.40,2.45,2.59,0.73,2.90,3.07,0.42,2.88,3.33,3.09,0.44,0.95,3.97,6.10,2.85,3.52,0.93,3.21,1.66,3.21,3.08,4.61,2.86,3.30,3.78,1.94,2.84,4.64,3.31,3.13,3.80
