FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1884-01,4.60,3.44,6.12,3.12,3.52,3.14,-0.86,2.27,3.19,1.15,3.03,2.85,1.04,2.96,3.31,2.95,0.73,0.86,3.37,6.42,2.75,3.85,1.12,3.44,1.53,3.41,3.17,4.72,3.13,2.96,3.18,2.60,3.33,4.46,3.47,3.76,4.27
1884-02,2.80,2.07,4.08,2.53,2.29,1.84,-2.37,0.66,1.41,-0.65,1.91,1.36,-0.59,1.79,1.61,1.88,-0.57,-0.72,2.02,5.49,2.38,3.07,-0.27,2.42,0.66,1.84,1.56,3.99,2.16,2.01,2.61,0.98,2.14,3.33,1.90,1.92,3.18
1884-03,3.19,1.87,4.84,2.59,2.04,2.00,-2.39,0.81,1.68,-0.59,2.09,1.68,-0.55,1.77,1.95,2.12,-0.49,-0.64,2.33,5.47,2.47,3.07,-0.00,2.29,1.19,1.84,1.68,3.84,2.00,2.25,3.40,0.36,2.06,3.54,1.96,2.03,3.03
1884-04,3.78,1.89,3.82,3.71,1.90,2.11,-2.28,1.41,1.61,0.20,2.24,2.05,-0.14,2.21,2.22,2.54,0.16,-0.11,3.01,5.82,3.76,3.21,0.74,1.65,2.29,1.87,2.16,3.32,1.58,2.59,4.62,0.91,1.70,4.41,1.93,2.34,2.65
1884-05,6.85,5.63,8.18,6.92,5.67,5.71,1.46,4.37,4.48,3.13,5.96,4.89,3.10,5.75,5.33,5.28,3.11,2.63,5.80,8.62,6.95,7.31,3.66,5.73,4.86,5.19,5.30,7.43,5.51,5.64,7.65,3.93,5.60,7.44,5.27,5.13,6.21
1884-06,9.90,8.71,10.82,9.05,8.73,8.39,6.84,6.78,7.34,5.32,7.97,6.22,6.81,8.58,7.85,8.86,6.21,6.48,8.87,10.77,9.13,9.21,6.76,8.63,7.42,8.06,7.68,10.27,8.36,9.08,9.67,6.16,8.63,10.48,8.12,7.98,8.85
1884-07,12.21,10.99,13.89,12.15,11.00,11.48,6.70,9.98,10.02,8.81,11.46,10.29,8.20,10.94,10.53,11.00,8.87,8.04,10.97,12.70,12.10,12.09,9.30,11.44,10.21,11.02,10.55,13.08,11.06,10.71,12.27,9.44,10.97,12.95,11.16,10.88,11.77
1884-08,12.67,10.87,14.51,12.64,10.83,11.77,6.59,9.86,9.56,8.67,11.84,10.34,8.54,11.42,10.72,10.31,9.16,7.93,10.93,13.80,12.77,12.78,9.50,10.87,10.21,10.96,10.64,12.84,10.78,11.13,13.03,8.94,10.73,13.40,11.09,10.34,11.64
1884-09,11.08,9.88,11.90,10.86,9.85,10.19,4.62,8.50,9.13,7.67,10.09,8.81,6.77,10.23,9.60,8.68,7.40,6.17,8.82,12.46,10.84,11.21,7.81,10.31,8.10,9.76,9.46,12.21,10.01,9.40,11.47,8.75,9.96,11.72,9.83,9.64,10.60
1884-10,7.39,4.25,9.20,5.41,4.09,4.60,1.23,4.27,4.45,3.74,5.03,3.78,3.61,4.48,5.28,5.18,3.54,2.77,5.61,9.13,5.28,5.59,3.66,4.67,3.52,4.50,5.04,6.56,4.34,5.37,6.39,4.05,3.98,7.62,4.57,4.83,5.89
1884-11,3.73,1.57,5.40,3.01,1.71,1.82,-2.04,1.30,1.40,0.21,1.78,2.13,-0.10,1.65,1.84,0.45,0.34,-0.40,2.63,6.65,2.81,3.07,0.50,1.77,1.64,1.64,1.61,3.49,1.59,1.75,3.87,1.16,1.42,4.29,1.67,1.99,3.33
1884-12,2.61,1.75,4.64,1.68,1.87,1.40,-3.23,0.16,1.35,-1.44,1.53,0.78,-1.23,1.63,1.27,-0.21,-1.31,-1.62,1.27,4.95,1.40,2.44,-1.00,1.79,0.07,1.53,1.18,3.41,1.70,0.67,2.26,0.81,1.62,2.90,1.57,1.66,2.55
1885-01,1.27,-0.42,3.00,0.37,-0.29,-0.50,-3.66,-1.02,-0.14,-2.07,0.08,-0.40,-1.97,-0.78,0.07,-0.63,-2.00,-2.08,1.04,4.05,0.17,0.85,-1.74,-0.13,-0.89,-0.35,-0.24,1.11,-0.49,0.20,1.05,-0.48,-0.46,1.86,-0.25,0.21,1.16
1885-02,2.90,2.78,4.91,2.66,2.99,2.18,-2.63,0.84,1.88,-0.41,2.44,1.11,-0.96,2.46,1.97,1.57,-0.73,-1.20,1.45,5.51,2.43,3.49,-0.34,2.91,0.51,2.16,1.84,4.36,2.66,1.50,2.74,1.50,2.74,2.66,2.21,2.32,3.66
1885-03,1.63,-0.22,2.88,0.71,-0.09,-0.39,-4.87,-0.67,0.11,-2.05,-0.10,-0.19,-2.85,-0.46,0.53,-0.16,-2.63,-2.44,1.07,3.86,0.66,0.79,-2.09,0.37,-0.44,-0.34,0.31,1.75,-0.15,0.23,1.79,-1.14,-0.06,1.60,-0.23,0.57,1.29
1885-04,4.06,2.70,4.18,4.27,2.75,2.82,-2.12,1.82,1.51,0.66,3.35,1.96,-0.14,3.00,2.42,2.53,0.16,0.10,3.18,5.13,4.29,3.81,0.80,2.26,2.37,2.55,2.60,4.06,2.46,2.52,4.91,0.69,2.48,4.21,2.64,2.52,2.84
1885-05,5.39,4.29,6.65,4.84,4.32,4.29,-0.34,2.51,3.00,1.50,4.09,3.28,1.47,4.18,3.68,3.67,1.62,1.04,4.12,5.95,4.83,5.64,2.15,4.27,4.32,3.76,3.53,5.96,4.09,4.10,5.56,2.56,4.21,5.89,3.84,3.54,4.68
1885-06,9.55,8.75,11.66,9.58,8.78,8.88,3.53,7.40,7.76,5.92,8.80,6.74,4.84,8.86,8.16,7.25,5.83,5.42,8.71,10.47,9.62,9.92,6.49,8.52,7.68,8.51,8.21,10.09,8.30,8.22,9.92,6.60,8.73,9.89,8.59,8.43,9.35
1885-07,11.65,10.71,13.21,11.31,10.64,10.86,5.73,9.51,8.96,8.31,10.44,9.22,7.23,10.75,9.90,9.54,8.05,7.48,10.53,11.51,11.38,11.48,8.51,9.82,9.69,10.45,9.96,11.29,9.84,10.17,11.65,8.30,10.30,12.58,10.55,9.98,11.01
1885-08,10.02,9.28,12.13,10.12,9.35,9.70,4.32,7.59,7.62,6.34,9.46,8.28,5.99,9.28,8.43,7.44,6.65,6.00,9.23,11.13,10.10,10.43,7.08,9.10,8.46,9.11,8.50,11.03,9.08,8.54,10.67,6.98,9.34,10.73,9.25,8.57,9.42
1885-09,8.75,7.67,9.34,8.33,7.75,8.09,2.62,5.87,6.42,5.00,7.82,5.91,4.66,7.79,7.11,6.51,4.97,4.39,7.28,10.10,8.33,8.81,5.29,8.11,6.29,7.63,7.00,10.13,7.90,7.07,9.19,6.00,7.91,9.38,7.74,7.08,8.12
1885-10,5.14,3.76,7.76,4.36,3.71,3.76,-0.53,2.67,2.75,2.08,3.91,3.13,1.44,3.70,3.36,3.04,1.73,1.38,4.60,6.95,4.21,4.16,1.99,3.71,3.08,3.73,3.39,5.57,3.56,3.33,5.25,2.38,3.53,5.49,3.79,3.35,4.72
1885-11,3.90,2.63,6.56,3.78,2.80,2.55,-2.00,1.71,2.25,0.73,2.79,2.73,0.12,2.40,2.35,0.92,0.51,-0.02,3.21,7.73,3.56,3.69,0.75,3.04,2.33,2.43,2.24,4.66,2.76,1.64,4.27,2.07,2.58,3.93,2.47,2.76,4.79
1885-12,2.33,-0.00,3.48,0.29,0.09,-0.03,-4.00,-0.65,-0.36,-2.15,0.17,-0.44,-1.67,-0.15,0.37,-0.54,-1.87,-1.53,1.67,4.14,0.06,0.99,-1.64,0.10,-0.85,0.17,0.04,1.66,0.08,0.23,1.37,-0.55,-0.10,2.48,0.24,-0.03,0.99
