FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1862-01,65.84,56.16,76.94,29.80,59.28,39.24,204.55,68.37,56.78,105.89,35.45,36.46,374.22,47.94,40.48,85.79,207.99,149.51,44.78,179.08,28.17,144.96,147.81,69.89,63.39,40.41,49.29,98.82,132.24,152.10,25.31,59.27,95.20,104.81,39.67,51.37,143.96
1862-02,16.25,9.55,17.77,7.28,9.42,8.33,96.41,31.50,10.60,42.11,13.28,24.94,120.05,7.96,7.84,30.77,78.95,63.99,23.62,71.31,6.73,5.78,62.07,15.66,45.96,9.93,11.25,18.12,21.89,50.16,19.53,9.50,12.01,35.45,11.02,10.60,44.73
1862-03,68.16,115.61,71.49,58.75,108.54,87.67,178.26,147.38,85.17,203.14,96.16,95.93,225.81,91.08,66.19,59.34,229.89,132.76,56.72,181.40,52.59,104.23,188.34,117.12,142.54,86.80,83.23,113.40,158.26,110.08,92.08,86.60,129.20,81.49,90.65,80.31,189.82
1862-04,75.74,61.72,56.42,31.46,59.32,44.69,233.02,79.01,55.13,119.79,45.07,45.98,417.52,58.70,52.48,101.83,206.57,125.71,32.97,39.25,27.57,64.80,149.54,63.21,55.41,43.80,56.29,54.86,78.26,174.38,31.48,77.68,65.58,120.56,44.22,58.73,72.90
1862-05,83.01,86.91,53.48,61.85,91.66,74.45,135.88,105.23,93.51,143.90,77.05,51.91,198.85,74.10,96.54,68.45,142.08,106.15,56.04,48.01,56.94,100.78,118.47,70.26,66.32,78.94,94.24,112.28,144.16,88.50,60.36,114.73,110.08,75.92,78.02,87.31,84.44
1862-06,86.53,60.97,83.51,66.66,62.35,63.05,227.78,73.50,63.38,120.27,55.78,66.07,386.87,66.31,52.46,121.90,216.33,138.28,69.32,89.75,63.82,108.53,150.07,60.43,80.92,46.78,57.30,48.12,72.53,162.82,49.39,73.57,61.97,131.23,45.74,52.38,68.84
1862-07,76.30,65.08,79.85,55.82,64.30,52.11,213.72,69.70,55.31,128.25,49.26,86.10,331.57,74.77,47.43,108.22,200.70,132.89,51.44,76.97,57.49,73.27,145.35,66.76,94.80,48.11,46.23,52.68,79.10,141.95,41.48,77.43,60.09,110.34,47.13,51.76,67.99
1862-08,78.53,58.79,55.80,105.83,51.00,71.48,199.89,72.08,53.29,123.90,87.28,48.46,309.28,70.14,58.55,91.98,182.98,113.40,49.84,50.22,104.66,101.92,130.46,40.15,61.27,58.82,57.15,33.69,62.43,134.56,69.11,77.12,59.38,102.62,57.01,49.91,42.77
1862-09,82.18,64.49,45.44,5.87,50.36,50.93,146.94,129.07,70.90,209.67,60.80,80.08,139.59,57.86,76.85,49.60,200.60,92.88,33.78,157.82,0.00,0.00,168.31,27.18,95.20,62.04,98.29,16.07,42.33,82.24,62.17,99.40,43.69,57.79,64.81,62.83,37.68
1862-10,139.04,100.13,149.33,53.01,106.54,75.00,357.95,123.74,98.83,191.34,63.86,56.20,733.59,85.76,82.52,184.01,368.36,212.23,62.68,164.41,48.66,172.93,249.87,170.81,83.94,57.48,96.82,169.61,213.83,305.31,50.04,119.22,135.28,250.72,59.21,77.89,224.96
1862-11,37.02,28.61,29.93,41.72,27.68,30.95,69.88,40.98,24.48,61.24,38.89,26.96,112.37,29.42,29.09,30.31,80.52,57.31,24.18,84.33,44.22,62.77,63.49,20.52,50.96,23.46,25.85,20.20,34.88,51.31,32.00,36.83,32.10,36.05,24.60,21.70,24.97
1862-12,92.73,43.53,81.76,50.60,45.41,37.29,310.89,74.67,59.56,117.81,41.97,37.26,598.43,45.21,49.12,138.84,297.97,196.61,51.98,134.73,55.81,108.90,199.99,57.92,67.58,30.59,48.07,67.19,92.60,235.67,32.57,70.56,63.44,181.52,34.29,49.38,93.46
1863-01,108.87,80.94,102.83,36.95,79.45,59.68,279.03,161.06,107.65,238.14,61.68,66.71,480.16,66.88,90.24,113.85,301.54,196.32,54.77,207.55,33.32,117.29,229.80,132.26,105.28,59.27,92.52,118.87,163.53,197.73,59.17,125.58,115.33,133.21,59.18,88.54,188.82
1863-02,31.85,19.59,34.26,18.01,23.08,9.86,73.30,28.51,26.86,39.41,6.79,11.67,166.51,20.59,25.16,41.14,63.77,48.22,11.78,75.45,19.34,75.64,47.78,32.62,19.43,7.49,19.62,30.73,42.06,55.79,6.83,32.61,31.40,45.63,7.82,18.59,69.79
1863-03,27.03,20.54,48.67,42.30,23.00,15.92,63.74,24.98,35.05,35.43,23.01,24.38,95.21,21.56,24.99,19.97,67.97,50.61,34.83,82.44,44.21,58.10,50.41,38.27,58.68,12.34,22.38,37.59,46.86,43.00,29.31,39.54,32.24,37.04,12.99,23.24,97.92
1863-04,40.36,20.44,41.72,16.50,15.43,19.75,106.33,49.95,28.95,70.47,25.73,16.79,220.56,9.14,36.02,63.27,81.44,72.26,15.88,31.47,14.89,0.00,61.48,34.39,16.25,27.72,36.67,18.62,21.64,72.77,21.89,46.13,15.20,51.88,27.98,30.60,74.03
1863-05,43.06,34.05,48.73,37.90,41.41,22.74,71.93,40.45,28.07,63.66,23.93,20.34,125.04,32.61,32.96,46.74,69.08,65.57,46.94,56.74,37.84,68.23,54.91,48.97,47.62,14.98,23.70,55.42,63.36,49.53,24.17,32.66,50.42,44.00,15.01,21.31,82.30
1863-06,111.21,123.91,105.75,53.13,129.24,73.76,197.40,111.69,138.87,177.98,62.12,34.33,309.40,122.88,115.25,98.67,178.21,130.22,82.23,83.95,49.56,174.09,127.26,119.62,61.80,72.92,118.08,89.80,122.42,130.23,54.61,175.44,115.59,107.07,69.75,113.63,134.92
1863-07,28.93,25.45,27.09,22.98,23.87,19.98,51.62,41.35,22.64,74.45,30.67,68.82,60.62,25.33,25.38,21.35,80.69,29.56,18.26,40.49,23.09,9.48,68.85,34.84,73.71,21.52,22.07,26.24,36.47,36.42,39.10,34.67,22.19,24.71,21.56,23.01,35.84
1863-08,101.23,49.73,96.74,17.41,38.58,48.04,188.25,118.88,65.57,210.03,57.36,73.94,205.63,32.61,77.99,53.12,221.00,103.23,46.17,151.07,12.51,15.22,176.11,74.77,78.43,52.51,75.40,59.41,85.74,125.20,56.76,92.07,52.13,90.76,50.62,64.96,108.69
1863-09,128.83,91.05,101.92,54.02,80.12,65.35,207.23,139.71,119.30,241.64,77.22,58.87,310.29,83.37,100.28,86.79,264.20,113.28,31.91,168.58,54.33,54.39,192.51,88.74,68.93,63.49,118.65,81.20,114.61,162.89,62.21,151.02,85.74,132.85,66.51,94.36,153.72
1863-10,160.91,69.12,155.60,120.55,62.94,74.61,230.31,168.23,132.45,263.72,97.05,74.39,373.54,47.80,115.71,78.93,296.97,142.60,75.50,0.00,120.65,0.00,230.39,167.90,155.15,59.37,122.12,110.88,127.52,198.55,105.75,165.15,70.60,165.09,62.53,98.57,241.19
1863-11,84.02,51.51,97.66,129.27,47.71,63.81,158.14,92.63,72.53,134.21,93.82,51.89,254.19,48.15,70.34,58.77,172.13,110.37,50.16,60.59,142.78,65.68,128.91,70.50,114.31,48.21,63.95,56.32,74.77,121.03,86.78,102.13,55.03,87.87,51.02,59.04,114.17
1863-12,67.67,33.77,70.03,38.72,34.11,28.27,129.06,91.84,43.80,143.42,37.29,38.45,185.83,31.17,47.18,44.35,157.98,93.23,39.24,184.00,42.80,56.62,127.34,75.53,82.38,24.41,40.18,61.25,77.68,91.17,44.81,55.38,47.02,67.58,27.78,36.96,115.33
