FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1961-01,87.29,87.85,86.89,87.45,87.85,87.60,87.32,89.14,87.22,88.77,88.85,88.18,87.47,87.97,87.68,86.75,87.77,89.04,86.67,90.70,87.97,87.10,88.27,87.60,87.61,88.80,89.11,86.24,87.71,87.45,87.74,88.16,88.09,86.18,89.07,89.06,88.92
1961-02,87.72,88.42,88.27,87.89,88.69,86.44,87.46,87.86,88.50,87.55,88.40,86.43,89.15,87.94,85.77,86.73,87.39,88.42,85.63,94.80,88.52,88.98,87.21,88.69,85.74,87.25,87.53,88.45,89.54,88.73,87.00,87.29,89.16,88.12,87.61,87.97,91.51
1961-03,81.84,79.55,85.12,79.62,79.63,77.14,81.86,78.98,81.12,78.80,79.99,77.57,83.91,79.46,80.58,84.47,80.01,82.27,77.92,90.35,80.74,82.25,79.37,82.12,77.90,76.46,80.49,82.13,81.61,82.50,80.51,81.60,80.12,83.59,76.90,80.20,84.98
1961-04,85.98,85.48,89.24,85.86,86.10,82.55,84.00,86.09,86.74,85.65,85.22,85.44,85.65,85.09,85.26,84.40,85.42,85.29,85.33,94.24,87.02,88.33,85.81,88.34,90.96,83.91,86.41,88.87,87.52,85.32,86.92,86.40,87.02,86.32,84.36,86.68,89.47
1961-05,76.36,73.16,77.99,75.20,74.51,72.95,75.28,76.25,75.03,76.68,75.58,74.88,76.27,73.55,74.51,77.10,75.76,77.31,77.31,82.33,76.16,76.48,76.11,74.72,79.67,72.82,74.90,75.44,74.16,75.05,79.33,75.12,76.10,75.53,73.34,74.34,76.06
1961-06,78.03,72.95,84.64,75.89,75.54,71.13,76.75,75.78,77.01,76.63,73.92,74.21,79.00,72.75,75.36,79.38,76.37,78.22,77.38,85.58,77.23,79.82,76.02,76.81,80.22,70.74,74.97,78.45,77.16,77.38,77.91,76.36,77.88,78.54,71.35,74.81,80.31
1961-07,80.55,73.37,84.75,77.08,75.42,75.13,81.06,80.33,76.35,81.35,78.68,79.28,81.47,73.46,78.76,82.12,80.52,81.40,81.76,86.48,78.35,77.84,80.63,75.91,84.14,74.01,78.39,77.69,76.43,80.42,82.57,78.38,77.12,81.78,74.76,77.11,80.76
1961-08,82.74,78.43,84.90,78.86,80.38,76.39,81.76,81.64,79.80,82.24,79.28,78.99,82.91,77.46,80.90,82.79,80.99,81.80,80.77,88.73,79.76,81.08,80.54,79.54,77.98,75.89,80.32,80.18,79.23,82.26,84.34,81.07,81.61,83.97,76.55,79.23,83.85
1961-09,82.12,84.75,83.97,86.36,86.05,82.84,84.43,83.81,82.55,83.57,85.07,83.17,84.95,85.25,83.48,84.86,83.75,85.90,85.25,90.14,87.29,88.38,83.44,85.25,82.29,82.13,83.80,85.41,86.10,84.39,85.81,83.67,87.04,84.62,82.61,83.37,87.12
1961-10,81.95,85.33,85.18,85.55,85.85,83.97,85.19,85.55,84.08,85.20,85.96,86.23,84.34,85.72,83.88,83.58,85.19,87.18,86.78,89.62,86.29,85.57,85.25,83.67,86.95,83.85,84.73,82.47,84.65,84.35,86.60,84.33,86.10,83.00,84.24,84.66,87.07
1961-11,84.55,86.26,80.69,86.42,86.25,86.38,87.31,87.24,85.44,86.89,86.00,86.22,87.40,86.26,86.37,87.20,87.00,89.84,87.32,84.23,87.24,83.47,86.97,86.22,86.89,86.79,87.20,83.65,85.96,86.76,84.45,86.28,86.35,84.26,87.02,86.89,85.70
1961-12,85.26,88.79,83.05,86.64,88.87,89.01,87.85,89.66,88.20,88.97,88.09,89.03,87.35,88.39,89.24,87.68,88.21,90.26,88.04,87.55,87.14,86.60,88.62,88.91,89.43,89.23,90.19,87.03,88.55,87.80,87.41,88.97,89.18,86.73,89.41,89.82,88.04
1962-01,87.95,87.80,87.24,85.59,88.19,86.59,87.17,88.06,86.30,87.98,87.09,86.35,87.79,88.13,86.88,86.96,86.97,89.25,86.84,90.26,86.04,88.10,86.85,88.79,86.40,86.18,87.65,87.33,88.22,87.75,86.65,87.48,88.55,86.66,86.48,87.29,88.86
1962-02,82.30,78.16,81.80,81.05,79.33,79.40,82.20,82.63,80.81,83.29,80.71,79.50,84.31,79.09,79.59,82.10,81.90,83.18,79.57,85.82,81.79,79.51,81.70,78.91,79.32,78.29,80.33,78.18,79.47,83.61,79.10,80.43,80.02,83.13,78.75,79.69,83.16
1962-03,78.31,77.35,79.10,80.03,78.04,80.15,79.70,80.37,77.91,80.88,81.22,79.15,79.84,78.67,78.00,78.04,79.80,80.35,79.84,83.00,81.01,78.49,79.94,77.01,82.36,78.42,79.00,77.21,77.67,79.49,81.91,78.30,78.42,79.64,78.90,78.03,80.05
1962-04,80.87,78.77,81.79,80.78,79.33,77.96,79.03,80.46,79.32,80.85,79.76,79.28,80.36,78.49,79.34,78.65,79.95,80.19,81.12,86.13,81.89,81.69,80.07,79.94,85.81,77.03,79.72,80.83,79.94,80.16,83.52,79.82,79.74,81.10,77.57,78.87,81.86
1962-05,78.74,79.08,81.68,78.90,79.79,78.63,77.83,78.63,79.47,78.44,79.38,77.15,78.84,79.13,79.69,79.08,77.60,79.88,80.42,88.19,79.72,82.69,77.61,80.93,82.33,77.31,79.68,81.91,79.70,77.41,82.37,79.97,80.47,77.85,77.75,78.64,82.09
1962-06,77.41,70.79,79.34,71.12,72.61,68.52,74.52,73.41,74.90,74.02,70.94,72.01,77.62,69.94,74.38,75.46,74.80,76.04,76.60,83.03,72.28,76.34,74.25,75.68,79.42,68.09,73.69,76.80,74.38,76.36,74.79,74.92,74.40,77.53,68.73,72.73,77.51
1962-07,79.69,76.54,82.78,79.47,77.82,78.23,79.93,80.02,76.58,80.20,80.63,78.97,80.81,77.34,79.47,79.36,79.86,80.71,82.98,88.24,80.70,82.04,79.93,79.51,84.02,76.67,79.09,80.82,78.03,79.92,84.04,78.92,78.96,81.29,77.39,77.41,81.91
1962-08,82.16,80.01,86.85,78.65,80.52,77.28,82.21,81.98,81.43,82.29,79.69,78.82,82.84,79.16,82.19,82.33,81.50,82.57,81.99,91.78,79.41,83.76,81.29,81.10,78.60,76.61,81.70,81.90,80.52,82.20,81.26,82.70,81.20,83.65,77.21,80.99,86.27
1962-09,81.99,82.88,83.13,82.97,83.04,81.94,83.45,84.06,81.95,83.69,83.73,82.59,83.79,82.57,83.86,83.13,83.45,85.00,84.24,87.91,83.68,83.77,83.30,83.23,82.90,81.10,83.91,82.89,83.34,83.85,84.44,83.60,83.46,84.08,81.62,82.85,85.55
1962-10,85.66,87.56,83.83,87.65,87.82,87.24,85.96,87.26,86.37,86.67,88.02,86.23,86.39,87.40,86.92,85.30,86.45,87.62,85.45,88.35,88.39,87.33,86.28,87.30,86.51,86.84,87.47,86.16,87.71,86.84,86.18,87.06,88.14,86.02,87.15,87.22,88.15
1962-11,86.77,89.73,84.22,90.07,89.61,90.39,86.92,89.31,87.90,88.40,90.38,88.80,87.28,89.96,88.89,85.80,88.05,89.12,86.60,86.66,90.85,87.11,88.29,88.47,89.99,90.47,89.94,86.41,89.13,87.60,89.27,88.70,89.86,85.24,90.74,89.68,88.23
1962-12,84.30,87.86,83.83,85.34,87.59,87.59,83.74,87.19,86.41,86.24,86.63,86.29,84.78,86.96,87.58,83.38,85.49,86.08,83.67,87.53,86.02,84.87,85.91,86.74,83.27,87.85,88.06,85.59,87.66,85.79,85.91,87.43,87.67,85.21,88.01,87.47,87.87
