FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1929-01,39.65,33.04,55.33,39.98,39.09,36.38,25.55,21.89,40.49,14.49,45.32,31.12,36.82,25.59,38.04,48.68,38.10,28.76,27.30,63.11,39.54,48.36,41.54,57.90,25.97,35.55,35.90,58.09,48.09,54.40,41.82,36.71,43.25,54.88,36.35,36.64,58.24
1929-02,54.08,56.66,70.14,59.88,69.41,58.50,34.85,25.58,56.11,22.73,51.59,22.87,52.91,41.21,49.53,63.52,32.00,44.81,43.76,53.27,52.79,79.69,30.70,64.17,16.86,54.52,44.53,65.29,66.92,50.22,30.59,50.09,82.46,55.77,54.95,54.36,48.14
1929-03,194.31,163.59,211.05,177.91,173.22,160.34,132.27,165.55,191.21,135.19,155.59,135.91,167.48,149.26,183.95,184.72,151.84,157.79,184.12,160.28,163.38,187.31,160.07,199.97,132.56,160.84,174.90,199.15,190.35,196.44,169.53,176.43,214.27,209.47,162.34,178.05,196.14
1929-04,201.92,151.42,181.70,160.01,147.07,149.48,119.64,131.87,151.42,128.13,141.08,149.04,140.18,142.38,161.14,150.24,135.50,132.89,166.75,197.91,151.22,181.58,136.53,168.38,141.66,133.18,141.49,176.34,165.04,165.28,166.02,147.64,166.23,180.29,136.19,146.38,179.82
1929-05,255.46,249.21,217.80,242.86,250.77,249.71,205.85,212.41,228.33,204.76,211.43,177.75,221.21,244.36,235.98,236.06,206.92,192.60,193.26,208.91,230.02,270.27,205.84,244.32,182.12,233.89,233.93,268.21,252.39,249.39,208.15,219.95,252.54,266.92,234.87,239.53,197.25
1929-06,269.49,208.13,239.50,187.92,214.24,203.96,186.16,204.94,220.66,193.14,167.81,164.12,211.32,203.24,228.48,221.36,184.02,184.69,207.61,250.78,181.51,225.03,182.90,225.80,157.08,196.15,218.59,241.35,210.69,236.09,179.52,214.45,204.99,255.16,196.97,216.60,231.37
1929-07,207.88,241.65,250.20,242.56,264.84,238.57,135.04,183.27,200.20,166.04,230.30,173.28,146.70,245.02,183.43,159.84,149.13,155.35,181.11,266.39,246.06,277.86,152.55,254.67,187.21,219.29,178.91,262.45,249.88,193.66,233.20,180.23,261.85,198.29,221.13,201.08,224.98
1929-08,168.29,186.22,141.75,192.86,185.84,185.47,102.66,143.61,163.75,128.03,170.24,154.49,92.28,181.89,149.52,108.38,96.02,124.35,164.78,197.67,187.12,226.06,101.99,185.62,137.92,177.64,148.67,206.26,182.96,130.90,182.30,148.10,187.00,141.69,179.19,178.97,173.56
1929-09,163.23,186.58,174.59,199.33,193.81,187.18,110.56,172.16,187.21,147.36,186.03,153.29,112.94,179.89,172.78,128.27,129.03,125.25,155.11,224.62,194.35,221.38,138.35,198.37,151.74,186.66,185.53,211.78,193.57,153.11,182.87,168.90,213.24,158.72,188.15,198.26,201.01
1929-10,111.33,103.93,79.57,129.69,110.56,110.44,69.14,91.54,105.45,72.49,114.88,107.91,72.62,104.68,105.68,101.92,79.08,92.28,116.75,123.97,126.59,115.11,85.45,103.67,100.00,119.48,108.10,113.69,104.73,98.84,121.13,98.34,115.01,104.30,120.17,110.15,109.27
1929-11,45.21,68.16,55.49,65.33,81.56,64.23,30.79,44.52,61.97,31.39,72.01,50.74,24.92,50.40,53.84,36.35,29.86,43.94,69.58,72.61,63.60,87.78,33.03,77.60,66.28,70.99,59.96,85.27,81.15,35.13,85.18,53.62,83.60,37.49,70.99,63.44,77.91
1929-12,61.84,49.39,49.19,67.80,65.56,69.91,22.22,41.49,66.54,30.41,64.96,39.27,21.25,42.06,72.18,28.82,30.08,34.94,46.69,77.41,65.87,70.51,31.71,69.11,40.10,66.55,77.85,72.31,65.30,44.55,66.39,65.51,63.46,46.22,66.81,70.81,69.69
1930-01,54.31,40.66,51.03,63.47,53.71,54.75,22.15,41.17,52.19,29.65,64.55,39.65,27.55,34.13,59.07,37.84,29.75,37.98,65.80,55.59,63.43,55.36,33.05,53.95,46.61,60.52,53.97,55.33,47.71,50.74,63.91,51.78,50.78,50.77,61.41,53.50,51.43
1930-02,66.39,53.63,76.03,65.43,56.14,59.33,53.62,33.96,45.47,30.24,53.35,35.54,78.58,52.06,44.32,93.84,59.27,59.61,57.65,91.56,66.39,85.36,57.72,71.42,28.54,56.58,41.57,79.32,72.03,83.34,50.12,40.61,65.69,89.30,57.38,41.81,71.10
1930-03,108.92,118.33,98.01,146.58,124.04,127.32,67.43,84.04,94.19,66.50,125.55,86.18,73.38,116.15,94.77,93.42,73.75,86.76,115.75,136.17,140.87,133.70,79.04,119.59,90.24,117.20,93.49,134.52,117.66,109.13,123.42,85.95,130.09,112.40,119.21,94.07,126.57
1930-04,119.74,106.56,150.64,138.71,110.60,113.61,84.55,78.36,105.39,71.91,118.32,89.22,99.00,104.47,101.92,112.60,96.89,94.13,91.92,193.27,135.24,161.50,96.54,131.75,73.48,106.96,99.82,146.36,127.91,110.77,121.93,99.47,122.29,120.92,108.12,105.39,166.42
1930-05,180.31,149.41,128.37,176.97,152.32,167.91,165.80,122.36,127.64,121.12,149.61,141.83,175.07,151.97,138.42,190.31,165.62,159.57,172.29,196.56,172.24,180.70,163.52,148.57,134.36,153.92,131.15,166.62,153.27,194.92,163.48,125.66,162.34,206.13,155.27,135.72,142.04
1930-06,236.66,229.70,259.53,241.28,235.14,232.34,184.38,183.31,220.53,172.80,214.71,201.74,208.17,226.31,219.45,230.64,174.33,202.79,229.55,230.07,241.88,263.61,173.34,239.08,192.57,217.45,206.37,248.76,233.14,231.10,220.21,211.82,233.39,240.45,219.61,214.81,222.59
1930-07,159.62,175.75,175.07,172.79,187.86,178.61,103.77,142.70,153.65,121.94,171.37,157.58,98.65,162.42,146.75,117.13,106.61,124.45,183.21,239.46,169.42,212.81,109.76,211.73,140.46,178.19,145.21,230.09,200.56,137.68,185.23,143.64,189.46,149.76,178.35,157.16,206.84
1930-08,157.63,207.84,161.51,230.43,218.57,232.34,120.60,165.30,180.15,145.77,213.13,190.99,111.16,212.61,170.33,130.09,129.71,133.97,169.25,191.35,225.48,247.77,138.46,213.81,187.30,214.34,178.78,232.56,213.61,155.92,217.47,166.47,214.93,154.78,216.91,193.30,196.65
1930-09,121.64,112.83,134.23,136.83,119.44,126.29,62.96,100.65,111.02,89.64,116.76,107.52,70.25,116.13,112.10,86.80,84.33,79.80,97.96,170.66,129.09,145.58,89.21,141.10,89.79,124.02,115.94,162.15,134.83,111.40,121.58,104.39,134.45,117.02,124.67,115.99,150.59
1930-10,100.03,110.58,76.87,157.85,118.27,141.24,52.83,101.08,102.65,84.40,133.57,113.43,46.30,115.69,99.23,75.13,69.68,82.70,124.97,99.92,152.71,146.13,76.44,112.45,115.51,139.08,97.83,128.22,116.49,92.63,146.92,92.96,125.28,94.10,140.67,114.46,112.79
1930-11,61.76,63.57,48.39,73.65,69.87,75.60,45.31,56.90,66.02,41.47,78.59,69.68,54.42,53.97,63.27,64.75,52.77,59.93,76.69,71.96,75.88,76.43,57.75,71.36,74.73,78.59,63.05,74.25,68.06,69.07,85.38,60.23,69.61,68.35,78.99,67.49,79.32
1930-12,23.69,20.42,27.09,42.86,23.83,28.44,18.41,13.49,29.62,8.65,33.87,21.95,17.95,16.08,29.84,21.32,13.81,24.56,36.88,61.98,43.14,43.49,14.00,45.05,32.32,26.50,29.69,51.91,44.10,23.52,31.95,30.44,39.32,23.99,27.07,26.70,50.02
