FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
x,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
y,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
LTMN_site_,Ainsdale,Burnham Beeches,Braunton Burrows,Bure Marshes,Chobham Common,Chippenham Fen,Cross Fell,Derbyshire Dales,Downton Gorge,Dark Peak,Dersingham Bog,Lower Derwent Valley,Ennerdale & Scoat Fell,Epping Forest,"Fenn's, Whixall & Bettisfield Mosses",Finglandrigg Woods,Ingleborough,Kielderhead,Lindisfarne,The Lizard,Ludham & Potter Heigham Marshes,Lullington Heath,Malham Tarn,Martin Down,May Moss,Monks Wood,Mottey Meadows,North Solent,Old Winchester Hill,Roudsea Wood and Mosses,Saltfleetby-Theddlethorpe Dunes,Stiperstones,Thursley,North Walney,Woodwalton Fen,Wyre Forest,East Dartmoor Woods & Heaths
easting,328903.0,494977.0,245425.8,634483.0,497585.2,564772.1,368721.9,417479.0,343966.0,407891.6,567366.5,470791.2,315327.3,541900.0,348871.0,327534.0,376044.0,368263.0,410098.0,171964.6,640698.4,554487.0,388973.0,404896.0,487517.8,519842.0,383951.4,441505.0,464235.0,334717.6,548416.6,336965.0,490844.0,317831.5,522985.5,375017.1,277747.0
northing,410422.0,184999.0,134695.2,315886.0,164681.4,269433.9,534333.2,372763.0,273767.0,387235.7,328846.6,442195.4,511071.1,197060.0,335615.0,556361.0,476065.0,595770.0,638963.0,18276.05,317817.4,101679.0,466931.0,118911.0,496168.7,280127.0,313239.2,96683.0,120577.0,480114.7,390591.4,297930.0,140477.0,472514.6,284483.2,276081.2,79207.0
1969-01,12.16,8.45,14.16,7.94,7.98,8.28,18.79,8.74,8.64,15.13,9.57,8.27,15.90,8.23,8.22,8.93,11.83,13.20,9.60,15.23,7.96,11.55,10.89,10.31,8.48,8.67,7.59,10.35,10.47,7.41,13.89,13.56,9.44,10.28,8.08,8.16,10.10
1969-02,13.84,8.87,12.57,9.85,7.90,8.67,23.27,9.14,8.68,14.64,10.42,10.41,17.39,8.84,8.64,9.90,15.20,15.95,12.15,14.02,10.09,9.97,13.73,10.02,10.19,8.12,8.39,10.09,9.45,10.40,16.44,12.54,8.54,12.65,7.56,8.38,9.99
1969-03,13.86,9.41,10.35,8.68,8.17,8.03,20.35,10.65,8.98,20.49,9.57,8.57,18.38,8.86,8.86,10.97,13.39,14.58,9.99,13.15,9.02,10.98,12.42,10.21,10.27,9.01,7.35,9.09,10.17,9.50,12.56,14.32,8.30,11.43,8.56,7.77,11.29
1969-04,12.12,9.70,12.83,8.62,7.97,8.09,18.45,8.64,7.79,17.27,9.62,9.86,14.77,8.89,8.94,8.92,14.06,12.98,9.28,15.38,8.88,9.57,13.03,10.18,8.66,7.85,7.43,10.24,11.17,8.88,11.53,12.97,9.07,10.76,7.34,7.34,9.30
1969-05,12.41,7.97,9.39,7.34,5.87,6.35,15.93,5.19,4.71,10.71,10.66,8.87,9.67,7.90,7.15,8.36,13.64,6.85,6.23,11.10,7.63,6.69,10.89,7.69,4.24,6.18,6.54,10.25,9.32,6.60,12.51,6.96,7.31,10.75,6.05,5.05,2.61
1969-06,11.55,8.24,9.91,6.78,7.62,5.46,15.28,7.46,7.07,10.94,8.40,7.78,11.32,7.66,7.72,7.33,10.96,9.45,7.47,11.42,7.17,8.54,9.48,9.17,6.45,6.27,6.52,10.38,10.44,8.65,10.55,10.23,7.84,10.07,5.83,6.46,7.76
1969-07,14.14,6.70,8.42,5.40,5.57,3.91,19.41,7.83,6.12,14.21,7.85,8.15,14.51,5.66,7.78,8.29,13.99,12.53,8.92,9.20,5.17,5.92,12.19,7.09,7.51,5.73,6.23,8.31,8.29,9.80,9.95,10.24,6.07,11.70,5.39,5.88,5.88
1969-08,11.67,6.81,10.92,6.76,6.11,4.50,16.73,6.90,6.56,10.58,8.00,7.60,12.44,6.60,7.87,5.96,10.68,8.74,7.33,11.09,6.66,7.47,8.98,8.43,6.80,6.24,6.40,9.00,8.36,9.16,10.13,10.49,6.03,11.01,5.78,6.27,7.54
1969-09,12.44,7.06,8.37,6.04,5.99,4.35,20.07,8.34,5.90,14.34,8.02,7.68,14.63,6.45,7.14,8.69,12.59,12.91,9.81,8.58,5.90,7.39,10.84,7.49,6.96,6.18,5.42,8.49,8.21,9.35,11.23,9.58,6.14,11.38,5.70,5.12,6.34
1969-10,15.15,5.62,8.77,5.80,4.07,6.36,25.79,6.92,5.13,10.53,8.29,7.80,19.37,6.13,7.41,9.62,19.24,12.07,8.36,8.88,5.65,4.95,14.02,6.13,5.89,5.27,6.13,8.01,7.13,8.50,11.79,8.15,5.06,13.79,4.92,4.90,3.36
1969-11,17.54,9.83,16.10,9.53,8.73,10.39,22.86,9.03,8.67,15.74,13.72,11.19,18.78,10.23,9.63,9.59,16.74,13.91,12.15,17.20,9.06,13.32,13.95,11.49,9.88,9.98,8.45,12.71,12.44,9.23,16.92,14.55,9.60,14.44,9.31,8.24,8.87
1969-12,13.03,8.30,11.54,6.99,6.51,7.96,21.35,7.78,7.10,14.66,10.21,7.96,14.58,8.50,8.06,7.03,14.98,8.72,7.57,14.25,6.78,9.63,12.42,9.28,6.36,7.03,7.92,10.42,9.45,6.43,13.97,11.09,7.60,10.86,6.66,7.09,4.83
1970-01,10.71,7.54,12.57,7.45,6.73,7.72,17.90,5.99,7.80,12.63,8.99,7.94,16.62,7.57,8.31,7.92,11.61,10.72,8.60,14.09,7.32,9.66,10.00,9.39,8.49,7.70,7.40,10.46,9.86,6.49,11.15,13.29,7.00,9.32,7.17,7.71,8.34
1970-02,16.04,10.72,16.83,9.84,9.87,10.33,23.48,10.59,10.15,16.44,11.99,12.12,15.73,10.85,10.48,9.86,15.97,12.73,11.57,17.48,9.77,12.52,14.10,11.82,10.51,9.26,9.59,11.30,12.36,9.67,14.65,15.92,10.04,11.45,8.69,10.08,12.26
1970-03,13.38,8.82,14.31,9.03,8.28,9.05,21.97,7.70,9.56,14.66,11.11,10.62,15.59,9.27,10.10,9.89,13.58,11.53,10.64,15.21,8.85,10.81,11.45,10.51,7.24,9.90,9.02,10.57,10.95,8.01,13.49,16.22,8.63,9.59,9.41,9.25,10.24
1970-04,12.01,9.41,14.44,9.51,8.22,9.82,22.32,8.74,9.19,17.53,11.78,11.06,18.54,9.42,9.81,9.58,15.40,12.99,10.05,16.12,9.43,9.76,13.53,10.94,10.55,8.55,8.81,11.47,11.81,8.43,13.28,16.09,8.96,10.26,8.11,9.04,10.19
1970-05,10.89,6.68,6.41,7.18,5.41,7.18,19.94,7.83,6.39,10.02,9.92,10.11,6.35,6.65,7.43,9.25,14.12,11.22,9.06,8.79,7.49,4.45,12.40,7.67,8.05,7.38,7.37,7.57,7.46,7.34,10.11,7.00,6.09,8.61,7.13,7.03,5.19
1970-06,8.79,7.39,8.23,6.97,6.60,7.22,16.90,6.27,7.15,13.04,8.35,8.10,12.24,6.82,7.51,7.62,11.45,9.36,6.66,12.88,7.19,7.79,10.31,9.03,4.22,6.44,6.63,8.41,9.33,7.24,8.53,11.25,7.03,7.90,6.11,6.81,6.61
1970-07,15.21,8.52,12.51,8.11,7.51,7.46,21.90,8.15,7.87,15.26,10.33,9.72,17.03,7.65,9.16,8.69,14.86,10.10,8.66,12.47,7.89,8.84,13.37,10.43,7.75,7.96,8.40,9.40,10.48,10.53,11.27,12.79,8.07,12.15,7.54,8.46,7.80
1970-08,7.35,6.51,8.48,6.17,5.66,5.96,16.84,5.65,5.70,10.18,8.13,7.75,11.04,5.92,6.58,6.44,11.39,8.01,6.62,11.51,6.40,7.34,10.04,8.04,5.27,5.96,6.03,7.30,7.82,7.72,9.52,8.69,5.86,9.02,5.70,5.72,5.93
1970-09,13.03,7.28,12.65,7.45,6.43,8.16,22.30,7.08,7.34,14.21,9.84,9.12,18.72,7.26,8.35,5.76,14.84,9.24,7.51,13.10,7.32,8.93,12.34,8.82,9.68,7.33,7.16,8.88,9.78,8.18,11.92,13.07,7.25,10.67,6.80,6.92,7.05
1970-10,15.75,8.71,12.44,8.58,7.51,8.90,25.92,8.99,7.12,11.57,11.63,10.35,14.84,9.05,8.45,8.68,17.99,10.92,9.18,14.78,8.13,9.76,14.22,9.29,9.12,8.28,8.19,9.48,10.03,9.31,13.66,10.67,8.27,13.18,7.75,7.78,5.12
1970-11,16.12,9.10,15.69,8.72,8.31,9.22,24.48,8.11,9.43,15.89,12.21,10.39,21.96,9.26,9.99,9.37,16.45,11.09,9.70,17.44,8.19,13.84,13.61,10.62,11.26,8.62,8.84,11.03,12.02,8.83,13.51,17.06,9.23,13.18,8.04,8.96,7.97
1970-12,13.24,7.88,10.47,7.68,6.32,7.96,24.78,8.51,7.10,12.88,9.90,9.38,10.45,7.81,8.00,7.77,15.78,9.87,9.80,15.01,7.63,8.62,13.69,9.11,11.44,7.82,7.98,9.76,9.29,6.46,14.79,9.88,7.36,9.68,7.44,7.35,6.34
